Product ID,UPC ID,Category,Department,Product,Price,Sale Price,Unit Price,Unit,Home Bargains,Promotion
17558466,5.05085E+12,"Fruit, Veg & Flowers",Vegetables & Potatoes,ASDA British Fluffy & Golden Baking Potatoes,£1.25,£1.25,50.0p/kg,Each,NO,
24932,23013575,"Fruit, Veg & Flowers",Vegetables & Potatoes,ASDA British Fluffy & Golden Large Baking Potatoes,£0.45,£0.45,11.2p/each,Each,NO,
9.1E+11,5.05141E+12,"Fruit, Veg & Flowers",Vegetables & Potatoes,ASDA Extra Special Marabel Baking Potatoes,£1.25,£1.25,31.2p/each,Each,NO,
1.00033E+12,5.05717E+12,"Fruit, Veg & Flowers",Vegetables & Potatoes,ASDA Garlic Butter Mini Jacket Potatoes,£1.35,£1.35,£3.91/kg,Each,NO,
1.00023E+12,5.02201E+12,Home & Entertainment,Kitchen,Scoville Neverstick Medium Roaster,£14.00,£14.00,£14.00/each,Each,NO,
1.00037E+12,5.05717E+12,"Fruit, Veg & Flowers",Fruit,ASDA Extra Special Sugarloaf Pineapple,£2.00,£2.00,£6.67/kg,Each,NO,
458915,23050419,"Fruit, Veg & Flowers",Fruit,ASDA Grower's Selection Watermelon,£2.29,£2.29,£2.29/each,Each,NO,
15832688,27307250,"Fruit, Veg & Flowers",Fruit,ASDA Grower's Selection Honeydew Melon,£1.29,£1.29,£1.29/each,Each,NO,
479953,5.05085E+12,"Fruit, Veg & Flowers",Fruit,ASDA Grower's Selection Galia Melon,£1.29,£1.29,£1.29/each,Each,NO,
9.10002E+11,23009066,"Fruit, Veg & Flowers",Fruit,ASDA Grower's Selection Pineapple,£0.90,£0.90,90.0p/each,Each,NO,
9.10001E+11,5.05407E+12,"Fruit, Veg & Flowers",Fruit,ASDA Watermelon Slices,£0.40,£0.40,£4.21/kg,Each,NO,3 for £1.00
77023191,5.05141E+12,"Fruit, Veg & Flowers",Fruit,ASDA Pineapple Fingers,£1.00,£1.00,£5.00/kg,Each,NO,
9.10001E+11,5.05407E+12,"Fruit, Veg & Flowers",Fruit,ASDA Melon Snack Pack,£0.40,£0.40,£5.00/kg,Each,NO,3 for £1.00
20326,27394052,"Fruit, Veg & Flowers",Fruit,ASDA Grower's Selection Giant Pineapple,£1.70,£1.70,£1.70/each,Each,NO,
1.00029E+12,5.05717E+12,"Fruit, Veg & Flowers",Fruit,ASDA Watermelon Chunks,£1.80,£1.80,£7.20/kg,Each,NO,
9.10002E+11,5.05141E+12,"Fruit, Veg & Flowers",Fruit,ASDA Pineapple Chunks,£1.75,£1.75,£4.38/kg,Each,NO,
30798,23032194,"Fruit, Veg & Flowers",Fruit,ASDA Melon Slices,£1.75,£1.75,£4.38/kg,Each,NO,
9.10001E+11,5.05407E+12,"Fruit, Veg & Flowers",Fruit,ASDA Pineapple Lolly,£0.40,£0.40,£5.00/kg,Each,NO,3 for £1.00
1.00002E+12,5.05478E+12,"Fruit, Veg & Flowers",Fruit,ASDA Melon Medley,£2.00,£2.00,£5.26/kg,Each,NO,
9.10001E+11,5.05245E+12,"Fruit, Veg & Flowers",Fruit,ASDA Melon & Grapes,£1.00,£1.00,£6.25/kg,Each,NO,
1.00012E+12,5.05717E+12,"Fruit, Veg & Flowers",Fruit,"ASDA Pineapple, Grapes & Apple",£1.25,£1.25,£5.56/kg,Each,NO,
9.1E+11,5.05245E+12,"Fruit, Veg & Flowers",Fruit,ASDA Mango Melon & Pineapple Mini Platter,£1.75,£1.75,£7.29/kg,Each,NO,
1.00029E+12,5.05717E+12,"Fruit, Veg & Flowers",Fruit,ASDA Mango & Watermelon,£2.00,£2.00,£8.00/kg,Each,NO,
1E+12,5.05085E+12,"Fruit, Veg & Flowers",Fruit,ASDA Melon & Grapes,£1.75,£1.75,£4.38/kg,Each,NO,
9.10003E+11,5.05478E+12,"Fruit, Veg & Flowers",Fruit,JUST ESSENTIALS by ASDA Lemons,£0.50,£0.50,12.5p/each,Each,NO,
24662,6194,"Fruit, Veg & Flowers",Fruit,ASDA Grower's Selection Loose Lemon,£0.30,£0.30,30.0p/each,Each,NO,
9.10003E+11,5.05478E+12,"Fruit, Veg & Flowers",Fruit,ASDA Zingy & Zesty Limes,£0.70,£0.70,17.5p/each,Each,NO,
1.00024E+12,5.05717E+12,"Fruit, Veg & Flowers",Fruit,ASDA Tangy & Zesty Lemons,£0.90,£0.90,22.5p/each,Each,NO,
24663,7139,"Fruit, Veg & Flowers",Fruit,ASDA Grower's Selection Loose Lime,£0.18,£0.18,18.0p/each,Each,NO,
1.00009E+12,5.05717E+12,"Fruit, Veg & Flowers",Fruit,ASDA Extra Special Unwaxed Lemons,£1.00,£1.00,33.3p/each,Each,NO,
28718,42888,"Fruit, Veg & Flowers",Fruit,ASDA Grower's Selection Loose Red Grapefruit,£0.50,£0.50,50.0p/each,Each,NO,
9.1E+11,5.05141E+12,"Fruit, Veg & Flowers",Fruit,ASDA Sweet & Tart Grapefruits,£1.29,£1.29,43.0p/each,Each,NO,
1.00024E+12,5.05717E+12,"Fruit, Veg & Flowers",Fruit,ASDA Grower's Selection Organic Lemons,£1.20,£1.20,60.0p/each,Each,NO,
1.00036E+12,5.05717E+12,"Fruit, Veg & Flowers",Fruit,ASDA Sweet & Juicy Fruit Platter,£3.29,£3.29,£3.87/kg,Each,NO,
1.00037E+12,5.05717E+12,"Fruit, Veg & Flowers",Fruit,"ASDA Sweet & Juicy Apple, Strawberry, Mango and Raspberry",£2.00,£2.00,£9.52/kg,Each,NO,
1.00037E+12,5.05717E+12,"Fruit, Veg & Flowers",Fruit,ASDA Extra Special Limited Edition Hand Picked Summer Berry Selection,£3.29,£3.29,£11.75/kg,Each,NO,
1.00038E+12,5.05717E+12,"Fruit, Veg & Flowers",Vegetables & Potatoes,ASDA Extra Special Jersey Royal New Potatoes,£1.30,£1.30,£1.73/kg,Each,NO,
37988,23064652,"Fruit, Veg & Flowers",Vegetables & Potatoes,ASDA Firm & Flavoursome Baby Potatoes,£0.90,£0.90,90.0p/kg,Each,NO,
1.00015E+12,5.05717E+12,"Fruit, Veg & Flowers",Vegetables & Potatoes,ASDA Extra Special British Baby Potatoes,£0.60,£0.60,£1.20/kg,Each,NO,
