Product ID,UPC ID,Category,Department,Product,Price,Sale Price,Unit Price,Unit
1000371302509,5057172819003,"Fruit, Veg & Flowers",Fruit,ASDA Extra Special Sugarloaf Pineapple,£2.00,£2.00,£6.67/kg,Each
15832688,27307250,"Fruit, Veg & Flowers",Fruit,ASDA Grower's Selection Honeydew Melon,£1.49,£1.49,£1.49/each,Each
910001512881,23009066,"Fruit, Veg & Flowers",Fruit,ASDA Grower's Selection Pineapple,£0.90,£0.90,90.0p/each,Each
458915,23050419,"Fruit, Veg & Flowers",Fruit,ASDA Grower's Selection Watermelon,£2.99,£2.99,£2.99/each,Each
479953,5050854251702,"Fruit, Veg & Flowers",Fruit,ASDA Grower's Selection Galia Melon,£1.69,£1.69,£1.69/each,Each
910001418500,5054070299104,"Fruit, Veg & Flowers",Fruit,ASDA Watermelon Slices,£0.40,£0.40,£4.21/kg,Each
77023191,5051413113998,"Fruit, Veg & Flowers",Fruit,ASDA Pineapple Fingers,£1.00,£1.00,£5.00/kg,Each
910001512390,5051413114001,"Fruit, Veg & Flowers",Fruit,ASDA Pineapple Chunks,£1.75,£1.75,£4.38/kg,Each
910001413505,5054070299203,"Fruit, Veg & Flowers",Fruit,ASDA Pineapple Lolly,£0.40,£0.40,£5.00/kg,Each
910001345243,5054070299159,"Fruit, Veg & Flowers",Fruit,ASDA Melon Snack Pack,£0.40,£0.40,£5.00/kg,Each
30798,23032194,"Fruit, Veg & Flowers",Fruit,ASDA Melon Slices,£1.75,£1.75,£4.38/kg,Each
20326,27394052,"Fruit, Veg & Flowers",Fruit,ASDA Grower's Selection Giant Pineapple,£1.70,£1.70,£1.70/each,Each
1000017779746,5054781744023,"Fruit, Veg & Flowers",Fruit,ASDA Melon Medley,£2.00,£2.00,£5.26/kg,Each
1000285582838,5057172551347,"Fruit, Veg & Flowers",Fruit,ASDA Watermelon Chunks,£1.80,£1.80,£7.20/kg,Each
910000347964,5052449008197,"Fruit, Veg & Flowers",Fruit,ASDA Mango Melon & Pineapple Mini Platter,£1.75,£1.75,£7.29/kg,Each
910001070531,5052449917031,"Fruit, Veg & Flowers",Fruit,ASDA Melon & Grapes,£1.00,£1.00,£6.25/kg,Each
1000285582963,5057172551354,"Fruit, Veg & Flowers",Fruit,ASDA Mango & Watermelon,£2.00,£2.00,£8.00/kg,Each
1000121694551,5057172014446,"Fruit, Veg & Flowers",Fruit,"ASDA Pineapple, Grapes & Apple",£1.25,£1.25,£5.56/kg,Each
1000000408464,5050854735929,"Fruit, Veg & Flowers",Fruit,ASDA Melon & Grapes,£1.75,£1.75,£4.38/kg,Each
1000128213094,5057172029457,"Fruit, Veg & Flowers",Fruit,ASDA Grower's Selection Organic Fairtrade Bananas,£1.00,£1.00,20.0p/each,Each
910002526245,5054781135524,"Fruit, Veg & Flowers",Vegetables & Potatoes,ASDA Grower's Selection Organic Brown Onions,£0.70,£0.70,£1.40/kg,Each
1000056517020,5054781860273,"Fruit, Veg & Flowers",Salads & Stir Fry,ASDA Grower's Selection Organic Broccoli,£1.00,£1.00,£3.33/kg,Each
463072,23036741,"Fruit, Veg & Flowers",Salads & Stir Fry,ASDA Grower's Selection Organic Cucumber,£1.00,£1.00,£1.00/each,Each
910003050006,5054781501800,"Fruit, Veg & Flowers",Fruit,ASDA Grower's Selection Organic Strawberries,£2.00,£2.00,£8.89/kg,Each
38819,27251713,"Fruit, Veg & Flowers",Vegetables & Potatoes,ASDA Grower's Selection Organic Red Onions,£0.80,£0.80,£1.60/kg,Each
910003101794,5054781593515,"Fruit, Veg & Flowers",Fruit,ASDA Grower's Selection Organic Blueberries,£1.69,£1.69,£13.52/kg,Each
910003036565,5054781511946,"Fruit, Veg & Flowers",Vegetables & Potatoes,ASDA Grower's Selection Organic Carrots,£0.70,£0.70,£1.40/kg,Each
1000230965240,5057172440023,"Fruit, Veg & Flowers",Fruit,ASDA Grower's Selection Organic Avocado,£1.00,£1.00,£1.00/each,Each
1000235368451,5057172445387,"Fruit, Veg & Flowers",Fruit,ASDA Grower's Selection Organic Lemons,£1.00,£1.00,50.0p/each,Each
38005,27240908,"Fruit, Veg & Flowers",Salads & Stir Fry,ASDA Grower's Selection Organic Peppers (Colour may vary),£1.55,£1.55,77.5p/each,Each
34561,23060357,"Fruit, Veg & Flowers",Vegetables & Potatoes,ASDA Grower's Selection Organic Potatoes,£1.45,£1.45,96.7p/kg,Each
910003082158,5054781512264,"Fruit, Veg & Flowers",Vegetables & Potatoes,ASDA Grower's Selection Organic Spinach,£2.00,£2.00,£6.67/kg,Each
910002849503,5054781401308,"Fruit, Veg & Flowers",Fruit,ASDA Grower's Selection Organic Apples,£2.00,£2.00,33.3p/each,Each
1000087344363,5057172010912,"Fruit, Veg & Flowers",Vegetables & Potatoes,ASDA Grower's Selection Organic White Mushrooms,£0.90,£0.90,£3.60/kg,Each
1000299625444,5057172688081,"Fruit, Veg & Flowers",Fruit,ASDA Extra Special Season's Best Nectarines,£2.00,£2.00,50.0p/each,Each
1000299625392,5057172688142,"Fruit, Veg & Flowers",Fruit,ASDA Extra Special Season's Best Peaches,£2.00,£2.00,50.0p/each,Each
1000228757662,5057172445189,"Fruit, Veg & Flowers",Fruit,ASDA Extra Special Plums,£1.79,£1.79,£4.47/kg,Each
1000375030367,5057172859849,"Fruit, Veg & Flowers",Fruit,ASDA Apricots,£1.25,£1.25,62.5p/100g,Each
910003095318,5054781580799,"Fruit, Veg & Flowers",Fruit,ASDA Farm Stores Plums,£0.62,£0.62,£1.55/kg,Each
1000299625397,5057172688067,"Fruit, Veg & Flowers",Fruit,ASDA 4 Juicy & Sweet Nectarines,£1.69,£1.69,42.2p/each,Each
1000299625410,5057172688128,"Fruit, Veg & Flowers",Fruit,ASDA Smooth & Sweet Peaches,£1.69,£1.69,42.2p/each,Each
1000378037109,5057172819232,"Fruit, Veg & Flowers",Fruit,ASDA Extra Special 4 White Flesh Nectarine,£2.00,£2.00,50.0p/each,Each
