Product Code,Desc,Wholesale Size,Order Size,Pack Size,Retail EAN,Vat Rate,Brand,Price Promo,Image URL,Subcat,Category,RSP,POR,Calculated Wholesale Price,Calculated Wholesale Price (Corrected VAT),Multi Buy,Multi Buy Mechanic,Date Scraped
265178,Baker Street 4 Classic Hot Dog Rolls Pre-Cut,4pk × 1,1,4pk,5027952005926	,Exempt,Baker Street,YES,https://www.bestwaywholesale.co.uk/img/products/1000/6/5027952005926.jpg,Bread & Morning Goods,Bread & Cakes,£1.49,29.53%,1.05,1.05,NO,NA,16-08-2022
727887,Mrs Crimble's 6 Big Choc Macaroons 195g,180g × 1,1,180g,5010822115078	,Exempt,Mrs Crimble's,NO,https://www.bestwaywholesale.co.uk/img/products/1000/8/5010822115078.jpg,Cakes,Bread & Cakes,£1.59,37.74%,0.99,0.99,NO,NA,16-08-2022
786967,Lyons Cakes 6 Bakewell Tarts,6pk × 1,1,6pk,5000221607847	,Exempt,Lyons,NO,https://www.bestwaywholesale.co.uk/img/products/1000/7/5000221607847.jpg,Cakes,Bread & Cakes,£1.50,23.33%,1.15,1.15,NO,NA,16-08-2022
265167,Baker Street 4 Original Mega Burger Buns with Sesame Seeds Pre-Sliced,4pk × 1,1,4pk,5027952005964	,Exempt,Baker Street,YES,https://www.bestwaywholesale.co.uk/img/products/1000/4/5027952005964.jpg,Bread & Morning Goods,Bread & Cakes,£1.49,26.85%,1.09,1.09,NO,NA,16-08-2022
263162,St Pierre 6 Pre-Sliced Brioche Burger Buns,6pk × 1,1,6pk,5027952012511	,Exempt,St Pierre,YES,https://www.bestwaywholesale.co.uk/img/products/1000/1/5027952012511.jpg,Bread & Morning Goods,Bread & Cakes,£2.70,34.07%,1.78,1.78,NO,NA,16-08-2022
616517,Assorted Muffins PM £1.89,4pk × 1,1,4pk,5054073069520	,Exempt,NA,NO,https://www.bestwaywholesale.co.uk/img/products/full/upl/616517.jpg,Cakes,Bread & Cakes,£1.89,23.28%,1.45,1.45,NO,NA,16-08-2022
605562,Baker Street 4 Soft Brown Bread Rolls,4pk × 1,1,4pk,5027952014331	,Exempt,Baker Street,YES,https://www.bestwaywholesale.co.uk/img/products/1000/1/5027952014331.jpg,Bread & Morning Goods,Bread & Cakes,£1.55,36.13%,0.99,0.99,NO,NA,16-08-2022
366890,Baker Street Seeded Rye Bread 500g,500g × 1,1,500g,5027952012573	,Exempt,Baker Street,NO,https://www.bestwaywholesale.co.uk/img/products/1000/3/5027952012573.jpg,Bread & Morning Goods,Bread & Cakes,£2.09,28.71%,1.49,1.49,NO,NA,16-08-2022
774213,Monster Ripper Energy Drink 12 x 500ml PM £1.49,500ml × 12 × 1,12,500ml,5060896623399	,Standard,Monster,NO,https://www.bestwaywholesale.co.uk/img/products/1000/5/5060896623405.jpg,Soft Drinks,Grocery,£1.49,36.98%,11.27,12.78,YES,"
,Buy,Any 30 of these:,
,Karelia Slims Original ,(20s × 10 × 1),
,Karelia Slims Blue ,(20s × 10 × 1),
,Jps Players Kingsize Red ,(20s × 10 × 1),
,Jps Players Superking Bright ,(20s × 10 × 1),
,Jps Players Superking Red ,(20s × 10 × 1),
,Jps Players Kingsize Bright ,(20s × 10 × 1),
,Lambert & Butler Blue Kingsize Bright ,(20s × 10 × 1),
,L & B Blue Kingsize Real ,(20s × 10 × 1),
,L & B Blue Superking Real ,(20s × 10 × 1),
,Jps Kingsize Real Blue ,(20s × 10 × 1),
,Jps Kingsize Silver Stream ,(20s × 10 × 1),
,Jps Superking Silver Stream ,(20s × 10 × 1),
,Jps Superking Real Blue ,(20s × 10 × 1),
,Carlton Kingsize Bright ,(20s × 10 × 1),
,Carlton Kingsize Red ,(20s × 10 × 1),
,Carlton Superking Bright ,(20s × 10 × 1),
,Carlton Superking Red ,(20s × 10 × 1),
,Windsor Blue Kingsize Real Blue ,(20s × 10 × 1),
,Windsor Blue Superking Bright ,(20s × 10 × 1),
,Windsor Blue Superking Real Blue ,(20s × 10 × 1),
,Lambert & Butler Kingsize Bright ,(20s × 10 × 1),
,Lambert & Butler Kingsize Original Silver ,(20s × 10 × 1),
,Richmond Kingsize Real Blue ,(20s × 10 × 1),
,Richmond Superking Bright ,(20s × 10 × 1),
,Richmond Superking Real Blue ,(20s × 10 × 1),
,Jps Kingsize Legendary Black ,(20s × 10 × 1),
,Davidoff Bright ,(20s × 10 × 1),
,Embassy Filter ,(20s × 10 × 1),
,Embassy Signature Silver Kingsize ,(20s × 10 × 1),
,Embassy Signature Gold ,(20s × 10 × 1),
,Embassy No1 Superking Red ,(20s × 10 × 1),
,Regal Kingsize Blue ,(20s × 10 × 1),
,Superkings Black ,(20s × 10 × 1),
,Superkings Bright ,(20s × 10 × 1),
,Gold Leaf Jps ,(30g × 5 × 1),
,Gold Leaf Jps ,(50g × 5 × 1),
,Riverstone Pouch ,(30g × 5 × 1),
,Riverstone Pouch ,(50g × 5 × 1),
,Jps Hand Rolling Tobacco ,(30g × 5 × 1),
,Gold Leaf Handy Pack ,(30g × 5 × 1),
,Golden Virginia Yellow Handy Pack ,(30g × 5 × 1),
,Golden Virginia Yellow Packet ,(30g × 5 × 1),
,Golden Virginia Yellow ,(50g × 5 × 1),
,Drum Original Blue ,(30g × 10 × 1),
,Drum Gold ,(30g × 10 × 1),
,Golden Virginia ,(30g × 5 × 1),
,Golden Virginia ,(50g × 5 × 1),
,Rothmans Kingsize Blue ,(20s × 10 × 1),
,Rothmans Kingsize Silver ,(20s × 10 × 1),
,Rothmans Xl Kingsize Blue ,(24s × 8 × 1),
,Rothmans Superking Blue ,(20s × 10 × 1),
,Royals Kingsize Blue ,(20s × 10 × 1),
,Royals Kingsize Red ,(20s × 10 × 1),
,Royals Kingsize Red ,(23s × 8 × 1),
,Dunhill Kingsize Red ,(20s × 10 × 1),
,Dunhill International ,(20s × 10 × 1),
,Rothmans Kingsize Original ,(20s × 10 × 1),
,Vogue Esssence Blue ,(20s × 10 × 1),
,Cutters Choice Xfine ,(30g × 5 × 1),
,Cutters Choice Xfine ,(50g × 5 × 1),
,Pall Mall Fine Cut ,(30g × 6 × 1),
,Rothmans Fine Tobacco ,(30g × 5 × 1),
,Cutters Choice ,(30g × 5 × 1),
,Cutters Choice ,(50g × 5 × 1),
,Benson & Hedges Superking Blue ,(20s × 10 × 1),
,Benson & Hedges Superking Sky Blue ,(20s × 10 × 1),
,Benson & Hedges Kingsize Blue ,(20s × 10 × 1),
,Benson & Hedges Kingsize Sky Blue ,(20s × 10 × 1),
,Sovereign Kingsize Blue ,(20s × 10 × 1),
,Sovereign Kingsize Sky Blue ,(20s × 10 × 1),
,Sovereign Superking Blue ,(20s × 10 × 1),
,Sterling Kingsize ,(20s × 10 × 1),
,Sterling Kingsize Blue ,(20s × 10 × 1),
,Sterling Superking ,(20s × 10 × 1),
,Sterling Superking Blue ,(20s × 10 × 1),
,Winston Kingsize Blue ,(20s × 10 × 1),
,Mayfair Superking ,(20s × 10 × 1),
,Mayfair Superking Sky Blue ,(20s × 10 × 1),
,Mayfair Kingsize ,(20s × 10 × 1),
,Mayfair Kingsize White ,(20s × 10 × 1),
,Mayfair Kingsize Sky Blue ,(20s × 10 × 1),
,Berkeley Superking ,(20s × 10 × 1),
,Berkeley Superking Blue ,(20s × 10 × 1),
,Sovereign Kingsize Black ,(20s × 10 × 1),
,American Spirit Yellow ,(20s × 10 × 1),
,Benson & Hedges Kingsize Silver ,(20s × 10 × 1),
,Benson & Hedges Gold 100s ,(20s × 10 × 1),
,Benson & Hedges Gold ,(20s × 10 × 1),
,Camel Blue ,(20s × 10 × 1),
,Silk Cut Blue ,(20s × 10 × 1),
,Silk Cut Purple ,(20s × 10 × 1),
,Silk Cut Silver ,(20s × 10 × 1),
,Silk Cut 100s Superking ,(20s × 10 × 1),
,Benson & Hedges Silver Roll Your Own ,(30g × 5 × 1),
,Holborn Yellow ,(50g × 5 × 1),
,Sterling Roll Your Own Pouch ,(30g × 5 × 1),
,Sterling Roll Your Own Pouch ,(50g × 5 × 1),
,Amber Leaf ,(30g × 5 × 1),
,Amber Leaf ,(50g × 5 × 1),
,Amber Leaf 3In1 Cpb ,(30g × 6 × 1),
,American Spirit Yellow Roll Your Own ,(30g × 5 × 1),
,American Spirit Roll Your Own ,(30g × 5 × 1),
,Old Holborn ,(30g × 5 × 1),
,Old Holborn ,(50g × 5 × 1),
,American Legend ,(20s × 10 × 1),
,Pueblo Roll Your Own Blue Tobacco ,(30g × 5 × 1),
,Pueblo Roll Your Own Classic ,(30g × 5 × 1),
,Chesterfield Kingsize Blue ,(20s × 10 × 1),
,Chesterfield Kingsize Red ,(20s × 10 × 1),
,Chesterfield Superking Red ,(20s × 10 × 1),
,Marlboro Touch ,(20s × 10 × 1),
,Marlboro Kingsize Gold ,(20s × 10 × 1),
,Marlboro Kingsize Red ,(20s × 10 × 1),
,Marlboro Kingsize Silver ,(20s × 10 × 1),
,Marlboro Superking Gold ,(20s × 10 × 1),
,Marlboro Gold Roll Your Own ,(30g × 5 × 1),
,L & B Ryo Original Pouch ,(30g × 5 × 1),
,Carlton Superking Green Filter ,(20s × 10 × 1),
,Jps Players Superking Green Filter ,(T20s × 10 × 1),
,Richmond Superking Green Filter ,(20s × 10 × 1),
,Windsor Blue Superking Green Filter ,(20s × 10 × 1),
,Pall Mall Shift Xl Ks Tt ,(23s × 8 × 1),
,Pall Mall Flow Blue Ks ,(T20s × 10 × 1),
,Pall Mall Shift Ks ,(20s × 10 × 1),
,Pall Mall Flow Red Ks ,(20s × 10 × 1),
,Pall Mall Flow Blue Sk ,(T20s × 10 × 1),
,Pall Mall Flow Red Sk ,(20s × 10 × 1),
,Rothmans Superking Silver Green ,(20s × 10 × 1),
,Vogue Compact Bleue ,(20s × 10 × 1),
,Jps Kingsize Bright ,(20s × 10 × 1),
,Benson & Hedges Superking Green ,(20s × 10 × 1),
,Sterling Superking Green ,(20s × 10 × 1),
,Sovereign Kingsize Dual ,(20s × 10 × 1),
,Sterling Kingsize Dual ,(20s × 10 × 1),
,Mayfair Kingsize Green ,(20s × 10 × 1),
,B+H King Size Blue Dual ,(20s × 10 × 1),
,Benson & Hedges Dual ,(20s × 10 × 1),
,Holborn Yellow 3In1 ,(30g × 5 × 1),
,Berkeley Superking Green ,(20s × 10 × 1),
,Marlboro Bright ,(20s × 10 × 1),
,Chesterfield Superking Bright ,(T20s × 10 × 1),
,Jps Players Volume Tobacco ,(50g × 5 × 1),
,Jps Easy Roll Tobacco Pouch ,(50g × 5 × 1),
,Jps Easy Rolling Tobacco Pouch ,(30g × 5 × 1),
,L & B Blue Kingsize Crushball ,(20s × 10 × 1),
,Jps Palyers New Crushball ,(20s × 10 × 1),
,Sterling Roll Your Own 3In1 Pouch ,(30g × 5 × 1),
,Embassy Signature New Crush ,(20s × 10 × 1),
,Sterling Ryo Essential ,(30g × 5 × 1),
,Sterling Ryo Essential 50g ,(50g × 5 × 1),
,Pall Mall Shift Green Fresh Kingsize ,(20s × 10 × 1),
,Rothmans Superking Green Fresh ,(20s × 10 × 1),
,B & H Blue Ryo ,(50g × 5 × 1),
,B & H Blue Ryo ,(30g × 5 × 1),
,Mayfair Superking Silver ,(20s × 10 × 1),
,Mayfair King Size Silver ,(20s × 10 × 1),
,Get,Any 1 of these FREE:,
,Diet Coke ,(330ml × 1),
,Swan Extra Slim Tips ,(120Tips × 20 × 1),
,Irn Bru ,(330ml × 24 × 1),
,Coca-Cola Zero Sugar ,(330ml × 24 × 1),
,Extra Peppermint Sugarfree Chewing Gum 10 Piece ,(10pce × 30 × 1),
,Extra Spearmint Sugarfree Chewing Gum 10 Piece ,(10pce × 30 × 1),
,Irn Bru PM 69p ,(330ml × 24 × 1),
,Lucozade Sport Orange £1.25 ,(500ml × 12 × 1),
,Monster Energy Original PM £1.49 ,(500ml × 12 × 1),
,Monster Ripper Energy-Ko PM £1.49 ,(500ml × 12 × 1),
,Monster Loco-Ko PM £1.49 ,(500ml × 12 × 1),
,Monster Nrg Pipeline Punch PM £1.49 ,(500ml × 12 × 1),
,Monster Energy Pacific Punch PM £1.49 ,(500ml × 12 × 1),
,Coca-Cola Original PM 69p ,(250ml × 24 × 1),
,Offer valid until Wednesday 31st August 2022.,
",16-08-2022
790164,RUSTLERS Cheese Burger with Our Signature Sauce 141g,141g × 1,1,141g,5099556024764	,Exempt,Rustlers,NO,https://www.bestwaywholesale.co.uk/img/products/1000/4/5099556024764.jpg,Cooked Meats & Pâtés,Fresh Foods,£1.40,17.86%,1.15,1.15,NO,NA,16-08-2022
769097,Flora 100% Natural Dairy Free Spread 250g,250g × 8 × 1,8,250g,8719200220164	,Exempt,Flora,NO,https://www.bestwaywholesale.co.uk/img/products/1000/1/8719200220171.jpg,Dairy & Eggs,Fresh Foods,£1.25,30.10%,6.99,6.99,NO,NA,16-08-2022
77264,Alpro Soya Long Life Drink 1L,1Ltr × 1,1,1Ltr,5411188083191	,Exempt,Alpro,NO,https://www.bestwaywholesale.co.uk/img/products/1000/1/5411188083191.jpg,Dairy & Eggs,Fresh Foods,£1.99,25.13%,1.49,1.49,NO,NA,16-08-2022
785182,Müller Corner Vanilla Yogurt with Chocolate Balls 2 x 124g (248g),248g × 1,1,248g,4025500277581	,Exempt,Müller,NO,https://www.bestwaywholesale.co.uk/img/products/1000/1/4025500277581.jpg,Dairy & Eggs,Fresh Foods,£1.25,17.60%,1.03,1.03,NO,NA,16-08-2022
794898,Best One Ess Cheese Slices,200g × 1,1,200g,5054073086817	,Exempt,NA,NO,https://www.bestwaywholesale.co.uk/img/products/full/upl/794898.jpg,Dairy & Eggs,Fresh Foods,£1.79,10.62%,1.6,1.6,NO,NA,16-08-2022
789526,Delicatessen Fine Eating Garlic Sausage 250g,250g × 1,1,250g,4010198030556	,Exempt,Delicatessen Fine Eating,NO,https://www.bestwaywholesale.co.uk/img/products/1000/6/4010198030556.jpg,Cooked Meats & Pâtés,Fresh Foods,£1.00,20.0%,0.8,0.8,NO,NA,16-08-2022
631372,Delicatessen Fine Eating German Salami Selection 24 Slices 90g,90g × 1,1,90g,4010352037407	,Exempt,Delicatessen Fine Eating,NO,https://www.bestwaywholesale.co.uk/img/products/full/upl/631372.jpg,Cooked Meats & Pâtés,Fresh Foods,£1.69,50.30%,0.84,0.84,NO,NA,16-08-2022
790597,Delicatessen Fine Eating Sliced Roast Beef Topside 80g,80g × 1,1,80g,4000145280912	,Exempt,Delicatessen Fine Eating,NO,https://www.bestwaywholesale.co.uk/img/products/1000/2/4000145280912.jpg,Cooked Meats & Pâtés,Fresh Foods,£2.00,25.0%,1.5,1.5,NO,NA,16-08-2022
719078,Regal BAKERY Sliced Coconut Cake,10pk × 1,1,10pk,5027738010373	,Exempt,Regal Bakery,NO,https://www.bestwaywholesale.co.uk/img/products/1000/3/5027738010373.jpg,Cakes,Bread & Cakes,£2.99,33.45%,1.99,1.99,NO,NA,16-08-2022
752222,Dairylea Dunkers Jumbo Tubes Cheese Snack 69p 41g,41g × 15 × 1,15,41g,7622201143732	,Exempt,Dairylea,NO,https://www.bestwaywholesale.co.uk/img/products/1000/6/7622201143756.jpg,Dairy & Eggs,Fresh Foods,£0.69,20.29%,8.25,8.25,NO,NA,16-08-2022
776607,Avant Mineral Water PM £1.99,9200ml × 12 × 1,12,9200ml,5060148621203	,Standard,NA,NO,https://www.bestwaywholesale.co.uk/img/products/full/upl/776607.jpg,Soft Drinks,Grocery,£1.99,94.02%,1.43,1.57,NO,NA,16-08-2022
733967,Cadbury Crunchie Blast Ice Creams 3 x 100ml (300ml),3pk × 1,1,3pk,5010238020232	,Standard,Cadbury,NO,https://www.bestwaywholesale.co.uk/img/products/1000/2/5010238020232.jpg,Ice Cream,Frozen Foods,£3.00,12.40%,2.63,2.8,NO,NA,16-08-2022
735274,Primula Dip Sour Cream & Chive 150g,150g × 1,1,150g,16049111119	,Exempt,Primula,NO,https://www.bestwaywholesale.co.uk/img/products/1000/5/5016049703715.jpg,Chilled Snacks,Fresh Foods,£1.29,15.50%,1.09,1.09,NO,NA,16-08-2022
