Product Code,Desc,Wholesale Size,Order Size,Pack Size,Retail EAN,Vat Rate,Brand,Price Promo,Image URL,Subcat,Category,RSP,POR,Calculated Wholesale Price,Calculated Wholesale Price (Corrected VAT),Multi Buy,Multi Buy Mechanic,Date Scraped
807771,Baker Street Sliced White Loaf,550g × 1,1,550g,5027952014966	,Exempt,NA,NO,https://www.bestwaywholesale.co.uk/img/products/full/upl/807771.jpg,Bread & Morning Goods,Bread & Cakes,£1.99,30.15%,1.39,1.39,NO,NA,05-10-2022
370282,Kingsmill Soft White Bread Thick 800g,800g × 1,1,800g,5010092093144	,Exempt,Kingsmill,YES,https://www.bestwaywholesale.co.uk/img/products/1000/4/5010092093144.jpg,Bread & Morning Goods,Bread & Cakes,£1.39,30.22%,0.97,0.97,NO,NA,05-10-2022
367007,Baker Street Rye & Wheat Bread 500g,500g × 1,1,500g,5027952012559	,Exempt,Baker Street,NO,https://www.bestwaywholesale.co.uk/img/products/1000/9/5027952012559.jpg,Bread & Morning Goods,Bread & Cakes,£2.25,29.33%,1.59,1.59,NO,NA,05-10-2022
807771,Baker Street Sliced White Loaf,550g × 9,9,550g,5027952014966	,Exempt,NA,NO,https://www.bestwaywholesale.co.uk/img/products/full/upl/807771.jpg,Bread & Morning Goods,Bread & Cakes,£1.99,30.27%,12.49,12.49,NO,NA,05-10-2022
786978,Lyons Battenberg Cakes 230g,Each × 1,1,Each,5000221607854	,Exempt,Lyons,NO,https://www.bestwaywholesale.co.uk/img/products/full/upl/786978.jpg,Cakes,Bread & Cakes,£1.50,23.33%,1.15,1.15,NO,NA,05-10-2022
727876,Mrs Crimble's 6 Big Coconut Macaroons 180g,180g × 1,1,180g,5010822115061	,Exempt,Mrs Crimble's,YES,https://www.bestwaywholesale.co.uk/img/products/1000/1/5010822115061.jpg,Cakes,Bread & Cakes,£1.59,37.74%,0.99,0.99,NO,NA,05-10-2022
265167,Baker Street 4 Original Mega Burger Buns with Sesame Seeds Pre-Sliced,4pk × 1,1,4pk,5027952005964	,Exempt,Baker Street,YES,https://www.bestwaywholesale.co.uk/img/products/1000/4/5027952005964.jpg,Bread & Morning Goods,Bread & Cakes,£1.79,30.73%,1.24,1.24,NO,NA,05-10-2022
639163,Baked to Perfection Double Chocolate Cake,Sgl × 1,1,Sgl,5054073069469	,Exempt,Baked to Perfection,NO,https://www.bestwaywholesale.co.uk/img/products/1000/9/5054073069469.jpg,Cakes,Bread & Cakes,£1.49,20.81%,1.18,1.18,NO,NA,05-10-2022
804311,Cadbury Twirl 5 x 21.5g (107.5g),5pk × 20 × 1,20,5pk,7622201713799	,Standard,Cadbury,NO,https://www.bestwaywholesale.co.uk/img/products/1000/2/7622201713812.jpg,Cadburys,Confectionery,£1.25,18.64%,20.34,23.59,NO,NA,05-10-2022
631372,Delicatessen Fine Eating German Salami Selection 24 Slices 90g,90g × 1,1,90g,4010352037407	,Exempt,Delicatessen Fine Eating,NO,https://www.bestwaywholesale.co.uk/img/products/full/upl/631372.jpg,Cooked Meats & Pâtés,Fresh Foods,£1.69,50.30%,0.84,0.84,NO,NA,05-10-2022
790207,RUSTLERS The Deluxe Bacon Cheeseburger 191g,191g × 1,1,191g,5099556024887	,Exempt,Rustlers,NO,https://www.bestwaywholesale.co.uk/img/products/1000/7/5099556024887.jpg,Chilled Snacks,Fresh Foods,£2.40,18.75%,1.95,1.95,NO,NA,05-10-2022
794898,Best One Ess Cheese Slices,200g × 1,1,200g,5054073086817	,Exempt,NA,NO,https://www.bestwaywholesale.co.uk/img/products/full/upl/794898.jpg,Dairy & Eggs,Fresh Foods,£1.79,10.62%,1.6,1.6,NO,NA,05-10-2022
978866,Nomadic Yogurt & Oat Clusters Chocolate 169g,169g × 1,1,169g,5391115000821	,Exempt,Nomadic,YES,https://www.bestwaywholesale.co.uk/img/products/1000/1/5391115000821.jpg,Dairy & Eggs,Fresh Foods,£1.50,36.67%,0.95,0.95,NO,NA,05-10-2022
622576,Alpro Oat No Sugars Long Life Drink 1L,1Ltr × 1,1,1Ltr,5411188124689	,Exempt,Alpro,YES,https://www.bestwaywholesale.co.uk/img/products/1000/9/5411188124689.jpg,Dairy & Eggs,Fresh Foods,£1.99,37.19%,1.25,1.25,NO,NA,05-10-2022
797792,Bestone Mild Coloured Cheddar PM £1.29,150g × 1,1,150g,5054073086916	,Exempt,NA,YES,https://www.bestwaywholesale.co.uk/img/products/full/upl/797792.jpg,Dairy & Eggs,Fresh Foods,£1.29,22.48%,1.0,1.0,NO,NA,05-10-2022
769975,Wall's The Classic Chicken & Bacon Slice 180g,180g × 1,1,180g,5000187115578	,Exempt,Wall's,NO,https://www.bestwaywholesale.co.uk/img/products/1000/8/5000187115578.jpg,Chilled Snacks,Fresh Foods,£1.65,21.82%,1.29,1.29,NO,NA,05-10-2022
895597,Warburtons 6 Sliced Soft White Rolls,6pk × 1,1,6pk,5010044002316	,Exempt,Warburtons,NO,https://www.bestwaywholesale.co.uk/img/products/1000/6/5010044002316.jpg,Bread & Morning Goods,Bread & Cakes,£1.25,28.80%,0.89,0.89,NO,NA,05-10-2022
715233,Florette Classic Crispy 115g,170g × 1,1,170g,5035106166836	,Exempt,Florette,NO,https://www.bestwaywholesale.co.uk/img/products/full/upl/715233.jpg,Fruit & Vegetables,Fresh Foods,£1.25,32.0%,0.85,0.85,NO,NA,05-10-2022
455259,Freedom Bathroom Tissue Aloe Vera Fragrance 4pk,4pk × 10 × 1,10,4pk,5060043670344	,Standard,NA,NO,https://www.bestwaywholesale.co.uk/img/products/full/upl/455259.jpg,Paper Wrap Foil & Bags,"Non Food, Paper & Disposables",£1.55,27.30%,11.27,12.72,NO,NA,05-10-2022
331434,Jack Daniel's Old No. 7 Tennessee Whiskey 70 cL £21.99 PMP,70Cl × 6,6,70Cl,15099873009109	,Standard,Jack Daniel's,YES,https://www.bestwaywholesale.co.uk/img/products/1000/9/5099873009109.jpg,Spirits & Fortified Wine,"Beers, Wines & Spirits",£21.99,21.79%,103.19,104.13,NO,NA,05-10-2022
194492,Airwaves Extreme Sugar Free Chewing Gum 10 Pieces,10pce × 30 × 1,30,10pce,4009900454681	,Standard,Wrigley's,NO,https://www.bestwaywholesale.co.uk/img/products/1000/3/42189633.jpg,Chewing Gum,Confectionery,£0.65,39.76%,11.75,15.36,NO,NA,05-10-2022
