Barcode,Product ID,Product Name,Description,Wholesale Price,Packet Format,Vat,On Promo,Promotional Price
7613035550025	,273814,Gourmet Perle Mini Fillets in Gravy with Chicken 85g,Complete pet food for adult catsNo added colourantsNo added artificial flavourings and preservativesMade with high quality ingredientsGourmet™ Perle Mini Fillets in Gravy simple and refined creations for an irresistible taste experience every day.® Reg. Trademark of Société des Produits Nestlé S.A, £9.39, 26 x 85g , 20%,No,N/A
9311220004343	,218322,19 Crimes Red Wine 750ml,"Red Australian WineWine of South Eastern AustraliaBased on real events from 1800sType of Closure: Natural CorkCurrent Vintage: 2020Producer: 19 CrimesGrape Variety: RedGrapeBlendWinemaker: naAgent: Treasury Wine EstatesVinification Details: This wine was matured for 3 months in 100% American oak.History: A liquid ode to our past, 19 Crimes is inspired by those who, beginning in 1788, were transported to Australia for a life of hard labour. Many did not survive the journey. For the sea-beaten people who made it ashore, a new world awaited. As pioneers in a harsh frontier colony, they forged fresh pathways and built new lives from their chequered pasts, brick by brick.Regional Information: South Eastern AustralianAlcohol By Volume: 13.5Units: 10.1Tasting Notes: Firm and full on the palate with flavours of red currants, dark cherries and chocolate, complemented with vanilla.Statutory/Years: 18", £30.99, 6 x 75cl , 20%,Yes,SAVE £2.70
8445290305145	,276244,Nescafé & Go Lids Sleeve x100 Pcs for 12oz & 16oz Cups,Lids Sleeve x100 Pcs for 12oz & 16oz Cups, £51.99, 10 x 100s , 0%,No,N/A
7613287791979	,276226,Nescafé & Go Gold Latte 8 x 23g,Instant Coffee BeverageA delicious blend of high quality ingredientsContains 8x e 23g Servings Nutritional Compass® ®Reg. Trademark of Société des Produits Nestlé S.A.Number of uses/Servings: 8Makes 8 cups, £5.29, 1 x 8x23g , 0%,No,N/A
5059697995811	,272952,Jack's Carrots 500g,Carrots.Packing a Perfect crunch1 of Your 5 a DayFinding the best veg is all about knowing the seasons. At Jack's we bring you the tastiest carrots all year round. An 80g serving of this product will provide one of your five daily portions of fruit and vegetables.BKR 000921, £5.49, 10 x 500g , 0%,Yes,SAVE £0.41
5000227511148	,228519,Aunt Bessie's Jam Roly Poly 300g,"Suet Pastry with a Jam Filling.Enjoy 4 servingsReal good food made properly in just 2 minutesSuitable for vegetariansRoll up, roll up, this tasty and satisfying Jam Roly Poly is ready to enjoy in just 4 minutes - perfect when time is short and everyone wants dessert now! Delicious suet pastry smothered with tasty mixed fruit jam and rolled into the classic pudding - yum!Number of uses/Servings: 4This pack contains approximately 4 servings", £5.10, 6 x 300g , 0%,Yes,SAVE £1.99
7613287791979	,276225,Nescafé & Go Gold Latte 8 x 23g,Instant Coffee BeverageA delicious blend of high quality ingredientsContains 8x e 23g Servings Nutritional Compass® ®Reg. Trademark of Société des Produits Nestlé S.A.Number of uses/Servings: 8Makes 8 cups, £62.99, 12 x 8x23g , 0%,No,N/A
7613287791948	,276174,Nescafé & Go Gold Cappuccino Unsweetened Taste 8 x 17.5g,"Instant coffee beverage.A delicious blend of high quality ingredientsCappuccino unsweetened taste* *Low sugar when prepared, for unsweetened taste.Contains 8x e 17.5g servings Nutritional Compass® ®Reg. Trademark of Société des Produits Nestlé S.A.Number of uses/Servings: 8Makes 8 cups", £5.29, 1 x 8x17.5g , 0%,No,N/A
5020379158718	,261253,Happy Shopper Coconut Rings 300g,Coconut Ring BiscuitsSuitable for vegetariansNot Yet Recycled © Booker 000220Number of uses/Servings: 36This pack typically contains 36 biscuits, £7.09, 12 x 300g , 0%,No,N/A
5035766063322	,247138,Amstel Lager Beer 12 x 300ml Bottles,"BeerDelivering light citrus & subtle herbal hop flavours, with a clean & crisp finishAmstel is a crisp tasting premium lager, perfect for your next get-together with family or friends. For 150 years, Amstel has brewed a high quality beer that has the perfect balance of taste and refreshment. With a unique honey malt aroma, Amstel delivers a subtle citrus and herbal hop character with a clean finish. Serve cold from the fridge. Contains 12 individual 300ml bottles We've cut our emissions when making our beers and ciders by 68% since 2008Alcohol By Volume: 4.1", £6.79, 1 x 12x300m , 20%,Yes,SAVE £0.36
5017726108298	,203516,Coca-Cola Zero Sugar Cherry 12 x 500ml,Sparkling Low Calorie Cherry Flavour Soft Drink with Plant Extracts with SweetenersThis product is suitable for vegetarians/vegansZero SugarNo CaloriesThis product is GMO freeThis product is gluten freeThis product is allergen freeCoca-Cola Zero Sugar Cherry gives you all the classic refreshment of Coca-Cola Cherry with zero sugar and zero calories. Coca-Cola Zero Sugar Cherry gives you all the classic refreshment of Coca-Cola Cherry with zero sugar and zero calories. Zero sugar Zero Calories Natural flavours Contains Plant extracts and sweeteners Contains a source of Phenylalanine Serve ice cold for maximum refreshment. Keep cold in the fridge. Please recycle.Contains caffeine This product is allergen free Contains natural flavourings Contains added colours Contains added intense sweeteners500ml = 2 x 250ml servings, £9.99, 12 x 500ml , 20%,Yes,FREE COCA COLA ZERO 12x500ml WITH 3 CASES OF COCA COLA/ DIET COKE 24x500ml
5998749125649	,219249,Pedigree Tasty Minis Adult Dog Treats Cheese & Beef Nibbles 140g,"Complementary pet food for adult dogs.This dog chew is the perfect way to reward your dog; an ideal dog treat for trainingTantalisingly tasty bite-sized treats, Tasty Bites dog chews are great for big and small dogsDogs love to be rewarded - Pedigree Tasty Bites are a range of tantalisingly tasty bite-sized Pedigree treats for dogs that come in many shapes and varieties. Great for big and small mouths, they are the perfect way to treat your dog. Pedigree Tasty Bites dog chews have added Omega 3, vitamins and minerals, and contain no artificial colours or flavours, so you can feel as good about them as your dog does! By living life to the full, dogs help us enjoy the simple joys of everyday life. The dog treats we feed our canine friends, as a reward, to bond, train or just play, are the little ways we celebrate the joy they bring to us. With the help of nutritionists and vets at The Waltham Centre, Pedigree has created a varied range of tasty dog treats for training that come in all shapes, sizes and textures. All to keep dogs exuberant, the way we love them. Cheesy Nibbles - savoury cheese and beef in a small and soft dog treat that are ideal for training or simply enjoying at any time! A complementary pet food, Tasty Bites dog treats have been developed into a varied range of tasty shapes, sizes and textures by nutritionists and vets at The Waltham Centre. Pedigree Tasty Bites dog treats are dog chews that contain Omega 3 to help keep them fit for life, vitamins to help their natural defences and minerals like calcium to help give them strong bones. Tasty Bites are delicious small bite dog treats that contain no artificial colours or flavours, so you can feel good about them when rewarding your canine friend with Pedigree treats for dogs.", £6.99, 8 x 140g , 20%,No,N/A
5000328493787	,193358,Cheetos Crunchy Cheese Snacks 39p RRP PMP 30g,"Cheese Flavour Fried Corn Snack162 kcal 677 kJ per packNo Artificial colours or preservativesSuitable for vegetarians- Case of 30 packs of Cheetos Crunchy Cheese Snacks (30g), Price Marked at 39p - To help maximise crisps & snacks sales, maximise availability in the afternoon and evening. Merchandise in chiller baskets, counter top units and sharing stands - Our price marked pack Crisps and Snacks are recommended for stocking in convenience retail outlets - Not Suitable for VegetariansCheetos is a registered trademark © 2022Number of uses/Servings: 1This pack contains 1 serving", £6.85, 30 x 30g , 20%,No,N/A
5020379077927	,178219,Happy Shopper Cream Crackers 300g,Cream CrackersSuitable for vegetariansNot Yet Recycled © Booker 001220Number of uses/Servings: 38This pack typically contains 38 crackers, £6.99, 12 x 300g , 0%,No,N/A
5010035567008	,255097,Foxs Sport PM50,N/A, £4.09, 12 x 200g , 0%,No,N/A
5059697999802	,275366,Jack's Smooth Orange Juice From Concentrate 300ml,Smooth orange juice from concentrate.Smooth from concentrateSuitable for vegetariansA 150ml serving of this product will provide one of your five daily portions of fruit and vegetables., £2.66, 8 x 300ml , 20%,Yes,SAVE £0.83
15050974506222	,248395,Ryvita Original PM125,N/A, £11.75, 12 x 200g , 0%,No,N/A
96107775	,66899,Colman's English Mustard 150g,"English MustardTry Colman's delicious Original English MustardHot and deliciousMake your meals instantly meatylicious with Colman's Original English Mustard, Squeeze fiery helpings on your sarnies, all over your barbecue bangers or stir into mountains of mashOriginal Norwich English MustardFull on flavourSuitable for vegetariansOver 200 years ago Jeremiah Colman founded Colman's in Stoke Holy Cross, 4 miles outside of Norwich. Passionate about good food and strong flavour, Colman's continues to commit to using great quality ingredients to make the best flavour enhancers for your food. Try Colman's deliciously hot English Mustard, perfect with your Roast Beef. Colman’s Original English Mustard is a hot mustard that will add big bold flavour to your favourite dishes. Colman’s English Mustard is the perfect accompaniment to your Roast Beef and Ham Sandwiches. It also makes for an excellent punch of flavour in many recipes such as devilled eggs, salad dressings and mashed potatoes. Keep a jar of Colman’s English Mustard on hand to transform your everyday meals from simple to spectacular. If you love our English Mustard, why not try the rest of our range, including Colman’s Mint Sauce, that’ll add a zing to your Roast Lamb. Colman’s Cranberry Sauce, a fruity addition to your Roast Chicken or Turkey. Colman’s Tartare Sauce, perfect with your Fish and Chips. Colman’s Horseradish Sauce to add heat to your with Roast Beef. Colman’s Apple Sauce for a sweet addition to Roast Pork. And Colman’s Seafood Sauce for creating the best Prawn Cocktails. Head to our website – www.colman’s.co.uk for more exciting recipe inspiration across our full dressings and recipe packet range. You can also take a look at our broad Colman’s product range, where you can find tasty new products and recipes ideas for mid-week meals, decadent roast dinners, simple sandwiches and much more!", £10.35, 6 x 150g , 0%,No,N/A
8421939070063	,1016357,Laumont Summer Truffle Peelings,"Preserved peelings of summer truffle (Tuber aestivum) in their own juice, with an addition of a pinch of salt. Use as you would fresh, to add the wonderful aroma and flavour of truffle to your dishes. Recommended uses: Risotto, pasta, eggs etc. Use the remaining juice from the peelings for a base of vinaigrette.", £22.69, 1 x 200g , 20%,No,N/A
5059697999864	,275386,Jack's Strawberry & Banana Smoothie 250ml,"A blend of apple, strawberry and raspberry juices from concentrate and banana puree.1 of Your 5 a Day = 150mlSuitable for vegetariansA 150ml serving of this product will provide one of your five daily portions of fruit and vegetables.BKR 001221", £2.66, 8 x 250ml , 20%,Yes,SAVE £1.03
04904131669968	,1016353,Nihon Shokken Yuzu & Wasabi Japanese Dressing,Nihon Shokken Yuzu & Wasabi Japanese Dressing An exquisite balance of re-freshing flavours. The punchy kick of wasabi combines delicately with the tart flavour of the Japanese citrus. Ideal as a dressing and dip., £13.15, 1 x 1L , 0%,No,N/A
8445290305145	,276245,Nescafé & Go Lids Sleeve x100 Pcs for 12oz & 16oz Cups,Lids Sleeve x100 Pcs for 12oz & 16oz Cups, £5.29, 1 x 100s , 0%,No,N/A
8032649484523	,1016352,Trivelli Tartufi Truffle Oil White,Trivelli Tartufi White Truffle Oil 250ml, £9.95, 1 x 250ml , 0%,No,N/A
8712100962011	,179733,PG Tips Pyramid PM135,N/A, £6.05, 6 x 40's , 0%,No,N/A
