G TIN,Category,Sub Category,Name,Price,Brand,Description,Promotion
5601083641101	,"Beers, Wines and Spirits",Liqueurs and other Spirits,Sandeman Fine White Porto 750ml,£10,Sandeman,Fine White Porto,NA
5013626111246	,"Beers, Wines and Spirits",Liqueurs and other Spirits,Taylor's Select Reserve Port 75cl,£10.75,Taylor's,NA,NA
3219820000078	,"Beers, Wines and Spirits",Liqueurs and other Spirits,Martell Cognac 70cl,£30,Martell,Martell VS Cognac,NA
5000128816304	,"Beers, Wines and Spirits",Liqueurs and other Spirits,Co-op Vermouth Extra Dry 1L,£6.35,Co-op,White Italian Wine,NA
5000128816304	,Vegetarian and Vegan,Vegan,Co-op Vermouth Extra Dry 1L,£6.35,Co-op,White Italian Wine,NA
5000128773751	,"Beers, Wines and Spirits",Liqueurs and other Spirits,The Co-operative Fine Ruby Port 75cl,£7.75,The Co-operative,Red Portuguese Wine,NA
5000128773751	,Vegetarian and Vegan,Vegan,The Co-operative Fine Ruby Port 75cl,£7.75,The Co-operative,Red Portuguese Wine,NA
5011013100156	,"Occasions, Flowers & Gifting",Gifting,Baileys Original Irish Cream Liqueur 70cl,£16,Baileys,NA,NA
5011013100156	,"Beers, Wines and Spirits",Liqueurs and other Spirits,Baileys Original Irish Cream Liqueur 70cl,£16,Baileys,NA,NA
8004445121001	,"Beers, Wines and Spirits",Liqueurs and other Spirits,Pellegrino Marsala Superiore Garibaldi Sweet 75cl,£10,Pellegrino,White Italian Wine,NA
8004027034644	,"Beers, Wines and Spirits",Liqueurs and other Spirits,Chambord Black Raspberry Liqueur 20 cL,£9,Chambord,Chambord Black Raspberry Liqueur,NA
5000128375795	,"Beers, Wines and Spirits",Liqueurs and other Spirits,Co-op Pale Cream Sherry 1L,£8.75,Co-op,White Spanish Wine,NA
3049197110816	,"Beers, Wines and Spirits",Liqueurs and other Spirits,Courvoisier VS Cognac 700ml,£30,Courvoisier,NA,NA
5010179001406	,"Beers, Wines and Spirits",Liqueurs and other Spirits,Stone's Original Ginger Wine 70cl,£6.85,Stone's,Ginger Wine,NA
5010262070074	,"Beers, Wines and Spirits",Liqueurs and other Spirits,Pimm's No.1 70cl Jubilee limited edition bottle,£13.5,Pimm's,NA,NA
5000128230377	,"Beers, Wines and Spirits",Liqueurs and other Spirits,Co Op Napoleon Brandy 35cl,£7.85,Co Op,Napoleon Brandy,NA
8002230000302	,"Beers, Wines and Spirits",Liqueurs and other Spirits,Aperol Aperitivo 70cl,£16.25,Aperol,Aperitivo,BUY 3 FOR £20 (Offer valid for delivery until 12/07/2022).
5012523231965	,"Beers, Wines and Spirits",Liqueurs and other Spirits,Tia Maria Cold Brew Coffee Liqueur 700 ml,£19,Tia Maria,NA,NA
8001110016372	,"Beers, Wines and Spirits",Liqueurs and other Spirits,Disaronno Originale 500ml,£17,Disaronno,NA,NA
5013626111277	,"Beers, Wines and Spirits",Liqueurs and other Spirits,Taylor's Late Bottled Vintage Port 75cl,£16,Taylor's,Red Portuguese Wine,NA
4067700013552	,"Beers, Wines and Spirits",Liqueurs and other Spirits,Jägermeister Herbal Liqueur 50cl,£14,Jägermeister,Herbal Liqueur,NA
5000128175715	,"Beers, Wines and Spirits",Liqueurs and other Spirits,Co-op Cream Sherry 1L,£8.75,Co-op,Sherry - Red Spanish Wine,NA
75496002005	,"Beers, Wines and Spirits",Liqueurs and other Spirits,Angostura Aromatic Bitters 20cl,£10,Angostura,Aromatic bitters.,NA
5000128232395	,"Beers, Wines and Spirits",Liqueurs and other Spirits,Co Op Napoleon Brandy 70cl,£13.25,Co Op,Napoleon Brandy,NA
5014379010077	,"Beers, Wines and Spirits",Flavoured Spirits and Pre-Mix Cans,Mike's Hard Seltzer Black Cherry 330ml,£2.2,Mike's,Alcoholic Sparkling Water,BUY ANY 3 FOR £5.50 (Offer valid for delivery until 28/06/2022).
5014379010077	,"Beers, Wines and Spirits",Liqueurs and other Spirits,Mike's Hard Seltzer Black Cherry 330ml,£2.2,Mike's,Alcoholic Sparkling Water,BUY ANY 3 FOR £5.50 (Offer valid for delivery until 28/06/2022).
8410005421052	,"Beers, Wines and Spirits",Liqueurs and other Spirits,Croft Original Sherry 750ml,£11,Croft,Original Sherry,NA
5410316671118	,"Beers, Wines and Spirits",Vodka,Smirnoff No.21 Vodka 70cl,£15,Smirnoff,NA,NA
5000128792028	,"Beers, Wines and Spirits",Vodka,Co-op Imperial Vodka 35cl,£7,Co-op,Imperial Vodka,NA
5000128123112	,"Beers, Wines and Spirits",Vodka,Co Op Imperial Vodka 70cl,£12.75,Co Op,Imperial Vodka,NA
7312040017683	,"Occasions, Flowers & Gifting",Gifting,Absolut Original Swedish Vodka 70cl,£21.5,Absolut,Original Swedish Vodka.,NA
7312040017683	,"Beers, Wines and Spirits",Vodka,Absolut Original Swedish Vodka 70cl,£21.5,Absolut,Original Swedish Vodka.,NA
5000128123136	,"Beers, Wines and Spirits",Vodka,Co-op Imperial Vodka 1L,£17,Co-op,Imperial Vodka,NA
5410316965385	,"Beers, Wines and Spirits",Flavoured Spirits and Pre-Mix Cans,Smirnoff Raspberry Crush Flavoured Vodka 70cl,£16,Smirnoff,NA,NA
