Region,Fascia,Source,Postcode,First Postcode,2 Digit Postcode,Talysis Id,Latitude,Longitude,Station,Owner,Rural/urban,London zone
East of England,COSTCUTTER,TCC,IP30 9QT,IP30,IP,TCC-Z00496,52.22473,0.8912163,,,,
London,SIMPLYFRESH,TCC,SW1H 0BD,SW1H,SW,TCC-Z00001,51.49942,-0.1342756,,,,
South East England,SIMPLYFRESH,TCC,GU22 7AH,GU22,GU,TCC-Z00002,51.31837,-0.5553556,,,,
South West England,COSTCUTTER,TCC,SN15 4PZ,SN15,SN,TCC-Z00444,51.5076,-1.981509,,,,
Wales,COSTCUTTER,TCC,LL35 0EE,LL35,LL,TCC-Z00003,52.54386,-4.044866,,,,
West Midlands,COSTCUTTER,TCC,B45 9RR,B45,B,TCC-Z00004,52.39721,-2.019267,,,,
East Midlands,COSTCUTTER,TCC,NN3 8AG,NN3,NN,TCC-Z00005,52.27193,-0.8401485,,,,
Scotland,COSTCUTTER,TCC,KY4 0DD,KY4,KY,TCC-Z00006,56.13262,-3.380813,,,,
South West England,COSTCUTTER,TCC,TR18 3JJ,TR18,TR,TCC-Z00007,50.12892,-5.550818,,,,
West Midlands,COSTCUTTER,TCC,B65 0NW,B65,B,TCC-Z00009,52.48124,-2.031305,,,,
Yorkshire and the Humber,COSTCUTTER,TCC,YO24 2TU,YO24,YO,TCC-Z00032,53.93802,-1.120227,,,,
Northern Ireland,COSTCUTTER,TCC,BT65 5BW,BT65,BT,TCC-Z00043,54.4447,-6.375207,,,,
London,COSTCUTTER,TCC,SW9 9JF,SW9,SW,TCC-Z00356,51.46886,-0.1200733,,,,
London,COSTCUTTER,TCC,SW9 9AE,SW9,SW,TCC-Z00402,51.47109,-0.1245892,,,,
North West England,COSTCUTTER,TCC,M5 4WT,M5,M,TCC-Z00065,53.48354,-2.270666,,,,
South East England,COSTCUTTER,TCC,GU2 7XH,GU2,GU,TCC-Z00076,51.24257,-0.5879459,,,,
West Midlands,COSTCUTTER,TCC,WR7 4DY,WR7,WR,TCC-Z00087,52.21386,-1.98065,,,,
Scotland,SIMPLYFRESH,TCC,AB25 2ZN,AB25,AB,TCC-Z00098,57.15498,-2.136122,,,,
Northern Ireland,COSTCUTTER,TCC,BT51 5DS,BT51,BT,TCC-Z00109,54.95494,-6.735986,,,,
Yorkshire and the Humber,COSTCUTTER,TCC,LS24 8AB,LS24,LS,TCC-Z00120,53.88582,-1.259117,,,,
East of England,COSTCUTTER,TCC,SG4 8XQ,SG4,SG,TCC-Z00164,51.84937,-0.2359187,,,,
West Midlands,COSTCUTTER,TCC,B16 8FW,B16,B,TCC-Z00186,52.47555,-1.917878,,,,
West Midlands,COSTCUTTER,TCC,WS3 3AD,WS3,WS,TCC-Z00208,52.6184,-1.992897,,,,
South West England,COSTCUTTER,TCC,PL31 2HL,PL31,PL,TCC-Z00219,50.47103,-4.721184,,,,
West Midlands,COSTCUTTER,TCC,WR4 0DZ,WR4,WR,TCC-Z00230,52.20007,-2.177873,,,,
Yorkshire and the Humber,COSTCUTTER,TCC,S70 6EY,S70,S,TCC-Z00241,53.55196,-1.491699,,,,
West Midlands,COSTCUTTER,TCC,DY9 9AQ,DY9,DY,TCC-Z00436,52.44711,-2.105729,,,,
Yorkshire and the Humber,COSTCUTTER,TCC,HU15 2EZ,HU15,HU,TCC-Z00252,53.76452,-0.6187213,,,,
West Midlands,COSTCUTTER,TCC,B1 2PZ,B1,B,TCC-Z00263,52.4836,-1.92069,,,,
Scotland,COSTCUTTER,TCC,IV1 3XN,IV1,IV,TCC-Z00274,57.50128,-4.245911,,,,
West Midlands,COSTCUTTER,TCC,B92 9NG,B92,B,TCC-Z00284,52.43142,-1.766659,,,,
East Midlands,COSTCUTTER,TCC,LE12 7LP,LE12,LE,TCC-Z00286,52.73233,-1.112358,,,,
Scotland,COSTCUTTER,TCC,IV30 5SJ,IV30,IV,TCC-Z00287,57.7062,-3.433761,,,,
South West England,KWIKSAVE,TCC,BS13 8PQ,BS13,BS,TCC-Z00355,51.40945,-2.621055,,,,
Northern Ireland,COSTCUTTER,TCC,BT94 1GW,BT94,BT,TCC-Z00288,54.46413,-7.627096,,,,
North West England,COSTCUTTER,TCC,CH65 7EB,CH65,CH,TCC-Z00289,53.28054,-2.918735,,,,
London,COSTCUTTER,TCC,E7 9PJ,E7,E,TCC-Z00291,51.54175,0.0249493,,,,
Northern Ireland,COSTCUTTER,TCC,BT17 0LB,BT17,BT,TCC-Z00397,54.55692,-6.026222,,,,
South East England,MACE,TCC,TW18 3HF,TW18,TW,TCC-Z00293,51.42949,-0.5213864,,,,
Yorkshire and the Humber,COSTCUTTER,TCC,YO21 3JP,YO21,YO,TCC-Z00294,54.49089,-0.6313704,,,,
Northern Ireland,COSTCUTTER,TCC,BT35 8ND,BT35,BT,TCC-Z00296,54.1543,-6.347128,,,,
Wales,COSTCUTTER,TCC,SA48 8AE,SA48,SA,TCC-Z00541,52.18044,-4.15251,,,,
Yorkshire and the Humber,COSTCUTTER,TCC,YO26 5PW,YO26,YO,TCC-Z00297,53.96188,-1.134509,,,,
Yorkshire and the Humber,COSTCUTTER,TCC,DN32 9BT,DN32,DN,TCC-Z00298,53.56475,-0.07567442,,,,
East of England,COSTCUTTER,TCC,PE15 8QQ,PE15,PE,TCC-Z00353,52.56161,0.08180757,,,,
East of England,COSTCUTTER,TCC,SS5 4QS,SS5,SS,TCC-Z00300,51.60135,0.6519113,,,,
West Midlands,SIMPLYFRESH,TCC,ST6 7AH,ST6,ST,TCC-Z00301,53.05534,-2.19148,,,,
Scotland,COSTCUTTER,TCC,G45 9UT,G45,G,TCC-Z00302,55.79928,-4.237707,,,,
East of England,MACE,TCC,IP21 5PG,IP21,IP,TCC-Z00304,52.34727,1.314073,,,,
Wales,SIMPLYFRESH,TCC,CF32 0HP,CF32,CF,TCC-Z00305,51.50575,-3.62179,,,,
West Midlands,COSTCUTTER,TCC,WR10 2BA,WR10,WR,TCC-Z00306,52.13724,-2.107037,,,,
West Midlands,COSTCUTTER,TCC,WV7 3EX,WV7,WV,TCC-Z00530,52.64618,-2.298643,,,,
Wales,COSTCUTTER,TCC,LL65 3NY,LL65,LL,TCC-Z00531,53.25425,-4.533955,,,,
West Midlands,COSTCUTTER,TCC,TF9 3QE,TF9,TF,TCC-Z00528,52.87931,-2.538599,,,,
West Midlands,COSTCUTTER,TCC,CV11 6QN,CV11,CV,TCC-Z00308,52.49329,-1.399176,,,,
Wales,COSTCUTTER,TCC,LD3 7RA,LD3,LD,TCC-Z00526,51.94221,-3.365081,,,,
West Midlands,COSTCUTTER,TCC,ST18 0AQ,ST18,ST,TCC-Z00492,52.81584,-2.091504,,,,
West Midlands,COSTCUTTER,TCC,WS14 9PY,WS14,WS,TCC-Z00529,52.66124,-1.775152,,,,
West Midlands,COSTCUTTER,TCC,B26 2TY,B26,B,TCC-Z00309,52.46688,-1.779616,,,,
North West England,COSTCUTTER,TCC,OL6 9RW,OL6,OL,TCC-Z00310,53.49186,-2.071555,,,,
South East England,SIMPLYFRESH,TCC,GU26 6NR,GU26,GU,TCC-Z00311,51.1225,-0.7536925,,,,
South East England,SIMPLYFRESH,TCC,RG1 1YE,RG1,RG,TCC-Z00312,51.4584,-0.9697415,,,,
