Station,Postcode,Latitude,Longitude,Owner
Abbey Wood,SE2 9RH,51.49106056,0.121394025,TfL Rail
Aber,CF83 1AQ,51.57496911,-3.229829051,TfW Rail
Abercynon,CF45 4SE,51.6447124,-3.326988552,TfW Rail
Aberdare,CF44 0PU,51.71506183,-3.443084095,TfW Rail
Aberdeen,AB11 6LX,57.14370583,-2.098685386,ScotRail
Aberdour,KY3 0SN,56.05459557,-3.300560615,ScotRail
Aberdovey,LL35 0NR,52.5439615,-4.057067962,TfW Rail
Abererch,LL53 6PJ,52.89858847,-4.374176474,TfW Rail
Abergavenny,NP7 5HS,51.81669304,-3.0096473,TfW Rail
Abergele and Pensarn,LL22 7PR,53.29457716,-3.582622688,TfW Rail
Aberystwyth,SY23 1LH,52.41404989,-4.081894427,TfW Rail
Accrington,BB5 1LJ,53.75297338,-2.369548102,Northern Trains
Achanalt,IV23 2QD,57.60960187,-4.913852563,ScotRail
Achnasheen,IV22 2EJ,57.57929592,-5.072333529,ScotRail
Achnashellach,IV54 8YH,57.4820809,-5.333056788,ScotRail
Acklington,NE65 4DE,55.30709932,-1.651834796,Northern Trains
Acle,NR13 3BZ,52.63467776,1.543914976,Greater Anglia
Acocks Green,B27 6EB,52.44932407,-1.818975622,West Midlands Trains (West Midlands Railway)
Acton Bridge (Cheshire),CW8 2RE,53.26650976,-2.603126907,West Midlands Trains (London Northwestern Railway)
Acton Central,W3 6BH,51.50871501,-0.262970693,London Overground
Acton Main Line,W3 9EH,51.51717888,-0.26675644,TfL Rail
Adderley Park,B9 4TG,52.48308729,-1.855944637,West Midlands Trains (West Midlands Railway)
Addiewell,EH55 8NQ,55.84341308,-3.606527122,ScotRail
Addlestone,KT15 2PB,51.37304475,-0.484456797,South Western Railway
Adisham,CT3 3JE,51.2411978,1.199089047,Southeastern
Adlington (Cheshire),SK10 4NA,53.31955579,-2.133562744,Northern Trains
Adlington (Lancashire),PR6 9RS,53.61324685,-2.603071196,Northern Trains
Adwick,DN6 7AJ,53.57232101,-1.18035633,Northern Trains
Aigburth,L17 6AG,53.36456801,-2.927155401,Merseyrail
Ainsdale,PR8 3HJ,53.60203553,-3.042652521,Merseyrail
Aintree,L9 5BE,53.47391276,-2.956280799,Merseyrail
Airbles,ML1 2SX,55.78283784,-3.994193307,ScotRail
Airdrie,ML6 9EX,55.86398351,-3.982912925,ScotRail
Albany Park,DA5 3HP,51.43545074,0.125737066,Southeastern
Albrighton,WV7 3DS,52.63794427,-2.268900245,West Midlands Trains (West Midlands Railway)
Alderley Edge,SK9 7QA,53.3037821,-2.236799363,Northern Trains
Aldermaston,RG7 4LB,51.40196186,-1.137423927,Great Western Railway
Aldershot,GU11 1HN,51.24641791,-0.759859888,South Western Railway
Aldrington,BN3 5AE,50.83638241,-0.183821513,Govia Thameslink Railway (Southern)
Alexandra Palace,N22 7ST,51.59792249,-0.12023522,Govia Thameslink Railway (Great Northern)
Alexandra Parade,G31 3JN,55.86317598,-4.210648969,ScotRail
Alexandria,G83 0UL,55.98508877,-4.57748537,ScotRail
Alfreton,DE55 7JQ,53.1004323,-1.369696216,East Midlands Railway
Allens West,TS16 0PF,54.52462337,-1.361116835,Northern Trains
Alloa,FK10 1BA,56.1177936,-3.790056403,ScotRail
Alness,IV17 0SE,57.69439917,-4.249717265,ScotRail
Alnmouth,NE66 3QF,55.39277864,-1.636637839,Northern Trains
Alresford (Essex),CO7 8AA,51.85399744,0.997436403,Greater Anglia
Alsager,ST7 2XW,53.09300541,-2.299057841,East Midlands Railway
Althorne (Essex),CM3 6DG,51.64786753,0.752483415,Greater Anglia
Althorpe,DN17 3HL,53.58550035,-0.733182291,Northern Trains
Altnabreac,KW12 6UR,58.3881525,-3.706280968,ScotRail
Alton,GU34 2PZ,51.15196866,-0.966913303,South Western Railway
Altrincham,WA14 1EN,53.38771872,-2.346889104,Northern Trains
Alvechurch,B48 7SE,52.34607212,-1.967660732,West Midlands Trains (West Midlands Railway)
Ambergate,DE56 2EN,53.06051708,-1.480697582,East Midlands Railway
Amberley,BN18 9LT,50.89667919,-0.541992408,Govia Thameslink Railway (Southern)
Amersham,HP6 5AZ,51.6742051,-0.607596139,London Underground
Ammanford,SA18 2DD,51.79597955,-3.996735756,TfW Rail
Ancaster,NG32 3RA,52.98768658,-0.535623734,East Midlands Railway
Anderston,G3 8RR,55.85990212,-4.270980032,ScotRail
Andover,SP10 3HW,51.21154761,-1.492233072,South Western Railway
Anerley,SE20 8PY,51.41215139,-0.065885922,London Overground
Angel Road,N18 3AY,51.61240331,-0.048791423,Greater Anglia
Angmering,BN16 3RE,50.81657439,-0.489394019,Govia Thameslink Railway (Southern)
Annan,DG12 6AS,54.98383888,-3.262581042,ScotRail
Anniesland,G12 0AY,55.88935551,-4.321957842,ScotRail
Ansdell and Fairhaven,FY8 1AG,53.74146547,-2.993034447,Northern Trains
Apperley Bridge,BD10 0FD,53.84175011,-1.705828671,Northern Trains
Appleby,CA16 6TT,54.58034882,-2.486692584,Northern Trains
Appledore (Kent),TN26 2DG,51.0332342,0.816341504,Govia Thameslink Railway (Southern)
Appleford,OX14 4PJ,51.63964155,-1.242141532,Great Western Railway
Appley Bridge,WN6 9AE,53.5786735,-2.719252513,Northern Trains
Apsley,HP3 9SX,51.73252082,-0.462934812,West Midlands Trains (London Northwestern Railway)
Arbroath,DD11 1RQ,56.5595763,-2.588931774,ScotRail
Ardgay,IV24 3AQ,57.88145761,-4.362090238,ScotRail
Ardlui,G83 7DT,56.30197237,-4.721658582,ScotRail
Ardrossan Harbour,KA22 8BH,55.63987823,-4.821111633,ScotRail
Ardrossan South Beach,KA22 8AU,55.64142214,-4.801212641,ScotRail
Ardrossan Town,KA22 8AU,55.63971246,-4.812676452,ScotRail
Ardwick,M12 6LY,53.47134582,-2.213884175,Northern Trains
Argyle Street,G2 8DL,55.85730906,-4.250694863,ScotRail
Arisaig,PH39 4NJ,56.91255374,-5.839079499,ScotRail
Arlesey,SG15 6XA,52.02603001,-0.266319838,Govia Thameslink Railway (Great Northern)
Armadale (West Lothian),EH48 3LP,55.88571403,-3.695413343,ScotRail
Armathwaite,CA4 9PL,54.80946798,-2.772071473,Northern Trains
Arnside,LA5 0HQ,54.2027315,-2.828241892,Northern Trains
