GTIN,Category,Sub Category,Product,Brand,Price,Unit Price,Unit,Offer
3600524029869,Toiletries & Beauty,Hair Care,L'Oreal Paris Elvive Hyaluronic Shampoo,L'Oreal,6.5,1.3,per 100ml,
3600522783220,Toiletries & Beauty,Skin Care,L'Oreal Age Perfect Wipes ,L'Oreal,2.5,0.1,each,"Offer price £2.50, was £5"
5000198136401,Toiletries & Beauty,Dental Care,Poligrip Denture Fixative Cream Flavour Free ,Poligrip,2.75,6.88,per 100g,
3600523232536,Toiletries & Beauty,"Bath, Shower & Soap",L'Oreal Men Expert Total Clean Shower Gel,L'Oreal,1.5,0.5,per 100ml,"Offer price £1.50, was £3"
5011408064971,Toiletries & Beauty,Hair Care,L'Oreal Paris Excellence Creme Natural Brown 5 Permanent Hair Dye      ,L'Oreal,7.5,0.0,each,Buy 2 for £11
3600524029647,Toiletries & Beauty,Hair Care,L'Oreal Paris Elvive Hyaluronic Conditioner ,L'Oreal,6.5,1.63,per 100ml,
5000101959509,Toiletries & Beauty,"Bath, Shower & Soap",Carex Antibacterial Moisture Plus Handwash,Carex,1.0,0.4,per 100ml,Carex Handwash £2.50 - Online Exclusive
5000101665400,Toiletries & Beauty,"Bath, Shower & Soap",Carex Antibacterial Aloe Vera Handwash,Carex,1.0,0.4,per 100ml,Carex Handwash £2.50 - Online Exclusive
5000101346170,Toiletries & Beauty,Great British Brands - Sponsored ,Carex Antibacterial Handwash Original,Carex,1.0,0.4,per 100ml,Carex Handwash £2.50 - Online Exclusive
5010251543336,Value Shop,50p & £1,Morrisons Night Time Ultra Towels with Wings,Morrisons,0.5,0.05,each,"Offer price 50p, was 65p"
5010251511847,Toiletries & Beauty,Skin Care,Nutmeg Sensitive Facial Wipes ,Morrisons,1.0,0.04,each,Buy 3 for £2
5010251543329,Value Shop,50p & £1,Morrisons Super Ultra Towels with Wings,Morrisons,0.5,0.0415,each,"Offer price 50p, was 65p"
5000101505140,Toiletries & Beauty,"Bath, Shower & Soap",Imperial Leather Fijian Waterfall & Zesty Bergamot Shower Gel 250Ml,Imperial Leather,1.0,0.4,per 100ml,Buy 2 for £1.80
4005808795697,Toiletries & Beauty,"Bath, Shower & Soap",Nivea Coconut Shower Gel,Nivea,1.0,0.4,per 100ml,"Offer price £1, was £1.50"
