Category,Product Code,EAN Code,Product Name,Product Size,RRP,Price,VAT,Stock Service,Brand,Description,On Promo
Frozen Goods,768456,148247	,M/E PLAIN PANINI,72X125GRM,NA,£12.49,0.0%,In Stock,Musgrave Foodservice Ltd,NA,No
Frozen Goods,458592,145283	,M/E PART BAKED CIABATTA FRZN,50X110GRM,NA,£13.99,0.0%,In Stock,Musgrave Foodservice Ltd,Musgrave Excellence Ciabatta 50 x 110g (5.5kg),No
Frozen Goods,751103,5391533620007	,NDP SLICED SOURDOUGH LOAF FRZN,6 x 1.2kgm,NA,£20.94,0.0%,In Stock,Musgrave Foodservice Ltd,NA,No
Frozen Goods,570691,146314	,M/E BRIOCHE BUN FRZN 4.5IN/11.5CM,40X85GRM,NA,£9.99,0.0%,In Stock,Musgrave Foodservice Ltd,Musgrave Excellence Brioche Style Bun,No
Frozen Goods,417621,5010066108522	,KARA GOURMET BRIOCHE BUN88GRM,1X54PCE,NA,£19.79,0.0%,In Stock,KARA FOODSERVICE,NA,No
Frozen Goods,778245,147731	,GLAZED VEGAN BURGER BUN FROZEN,48X70GRM,NA,£17.95,0.0%,In Stock,Musgrave Foodservice Ltd,Coghlan's Artisan Bakers 48 Glazed Vegan Burger Buns 3.4kg,No
"Health, Beauty & Baby",799526,5000231008801	,BRYLCREEM STRONG GEL,6 x 150mls,£2.49,£9.49,20.0%,In Stock,Brylcreem,Brylcreem Strong Hair Gel 150ml,No
Frozen Goods,785925,141152	,M/EXCELLENCE DEMI BAGUETTE FRZN,66X125GRM,NA,£10.99,0.0%,In Stock,CUISINE DE FRANCE LTD,Musgrave Excellence Demi Baguette 66 x 125g,No
Soft Drinks,111308,90162602	,RED BULL CAN,24 x 250mls,£1.47,£19.99,20.0%,In Stock,Red Bull,"Red Bull Energy Drink, 250ml",No
"Household, Cleaning & Pet Care",530778,834554007075	,SUNNY JIM LOG 1.29,15X700GRM,£1.29,£10.99,20.0%,In Stock,Tennant & Ruttle,NA,No
Soft Drinks,766293,5000382110095	,BARRS CREAM SODA 6PK,4 x 330mls,£1.99,£4.99,20.0%,In Stock,Tennant & Ruttle,"For more information on this product, please write to  us at",No
"Household, Cleaning & Pet Care",401420,834554005491	,SUNNY JIM 80/60,12X80PK,£2.79,£20.99,20.0%,In Stock,Tennant & Ruttle,Sunny Jim 80 Big Value Firelighters,No
"Household, Cleaning & Pet Care",478960,8710908064432	,CIF P&S ANTI BAC MULTIPURPOSE,6 x 700mls,£1.99,£7.49,20.0%,In Stock,Unilever Ireland Homecare,Cif Antibacterial Cleaner Spray 700 ml,No
Catering Dry Goods,619099,5000197554749	,SHARWOODS GREEN LABEL CHUTNEY,2X2.6KGM,NA,£22.98,0.0%,In Stock,Sharwood's,Visit www.sharwoods.com.au for more meal and recipe inspiration,No
"Household, Cleaning & Pet Care",421056,356987	,DETTOL LEMON POWER & FRESH,6 x 1ltr,£1.19,£4.49,20.0%,In Stock,SHS Distributors,"First Aid: For advice, contact a Poisons Information Centre (phone New Zealand 0800 764 766) or a doctor.www.sustainable-cleaning.comFor ingredients: www.rbeuroinfo.com",No
"Health, Beauty & Baby",445456,96114421	,SURE ROLL ON AQUA INVISIBLE,6 x 50mls,£1.19,£4.19,20.0%,In Stock,Unilever Ireland Personal Care,Sure Invisible Aqua Anti-perspirant Deodorant Roll-On  50ml,No
Soft Drinks,588169,146349	,CLUB SODA NRB,24X125MLS,NA,£6.99,20.0%,In Stock,Britvic Northern Ireland,Club Soda Water 125ml,No
"Household, Cleaning & Pet Care",768442,7613038759524	,GOURMET PERLE SALMON 2F1.00,24 x 85grm,£0.50,£7.99,20.0%,In Stock,Nestle Purina UK Commerical Op,Gourmet Perle Salmon in Gravy Cat Food 85g,No
"Household, Cleaning & Pet Care",768441,7613035550001	,GOURMET PERLE BEEF 2F1.00,24 x 85grm,£0.50,£7.99,20.0%,In Stock,Nestle Purina UK Commerical Op,Gourmet Perle Cat Food Mini Fillets Beef in Gravy 85g,No
Soft Drinks,593894,146352	,CLUB SLIM TONIC NRB,24X125MLS,NA,£6.99,20.0%,In Stock,Britvic Northern Ireland,Club Slimline Tonic 125ml,No
Soft Drinks,241799,5010102105416	,FRUIT SHOOT NAS APPLE & B/C 4 PACK,6 x 200mls,£1.29,£5.09,20.0%,In Stock,Robinsons,"For more information visit www.fruitshoot.com/gb or follow @FruitShootGB on Facebook.If they can dream it, they can win it...Whatever your kids are into, whatever their 'thing', they could win their dream version of it! And there are  loads of exciting family experiences to be won too.1. Dream  ItLet imaginations fly, get your kids to tell you their Biggest Dream Thing Ever!2. Scan ItScan the QR code and fly straight to the Dream Thing website to enter.3. Win ItInstantly  see if you've won. If not, you can try again up to twice a week. Good luck!Win Their Dream Thing****18+ UK & ROI. Promotional Period 8am to 8pm daily, 01.07.20 - 30.09.20. Mop up draw 07.10.20. 5 Dream Thing experiences (worth up to £5000)  & 100 runner-up family experiences available. NPN NI & ROI.  Internet access required. Max 2 entries per household per week only. 1 prize per household. Keep promotional pack/receipt. Parent/guardian scan QR code to enter on behalf of child  (aged 4-12 years only) and select dream category. 105 winning moment prizes randomly split across the promo period, winners notified instantly. Unclaimed winning moments reallocated in mop up draw. For entry, full terms & NPN NI & ROI details visit www.fruitshootforthemoon.co.uk",No
"Confectionery, Crisps & Snacks",175109,459235	,TWIX,32 x 50grm,£0.75,£9.29,20.0%,In Stock,Mars Wrigley DAP UK Ltd,https://betreatwise.net/,No
"Health, Beauty & Baby",755743,8001841266817	,PANTENE COND CLASSIC CLEAN,6X360MLS,£2.39,£8.99,20.0%,In Stock,Interactive Irl Ltd,"Pantene Pro-V Classic Clean Hair Conditioner  For Normal To Mixed Hair, 360ml",No
"Health, Beauty & Baby",543508,105435080	,KLEENEX MANSIZE TISSUES COMPACT,12X1PK,£1.19,£8.99,20.0%,In Stock,Kimberley Clark Ltd,Kleenex® Mansize Compact TissuesSingle Box2 ply Tissue,No
Alcohol & Tobacco,767334,5060592004409	,HEETS SIENNA CAPS SELECTION,10 x 20pk,£4.99,£37.92,20.0%,In Stock,Philip Morris Ltd,Heets Sienna Caps,No
"Health, Beauty & Baby",755835,8001841041391	,PAMPERS SENSITIVE WIPES,12X52PK,£1.00,£7.69,20.0%,In Stock,Interactive Irl Ltd,Pampers Sensitive Baby Wipes 1 Pack = 52 Baby Wet Wipes,No
"Health, Beauty & Baby",766992,50375301	,KLEENEX BALSAM HANKIES,18X1PK,£0.30,£3.19,20.0%,In Stock,Kleenex,Kleenex® Balsam TissuesSingle Pocket Pack 4 ply Tissue,No
