Category,Product Code,EAN Code,Product Name,Product Size,RRP,Price,VAT,Stock Service,Brand,Description,On Promo
Alcohol & Tobacco,163843,9414024514275	,BRANCOTT MARLBOROUGH SAUVIGNON BLAN,6 x 750mls,£10.25,£37.99,20.0%,In Stock,Brancott Estate,Brancott Estate Sauvignon Blanc 750ml,No
Alcohol & Tobacco,238001,9414024678861	,BRANCOT CABERNET MERLOT,1 x 750mls,£10.17,£6.85,20.0%,In Stock,Dillon Bass Ltd,Brancott Estate Hawkes Bay Merlot Red Wine 75cl,No
Alcohol & Tobacco,163844,9414024514275	,BRANCOTT MARLBOROUGH SAUVIGNON BLAN,1 x 750mls,£10.25,£6.35,20.0%,In Stock,Brancott Estate,Brancott Estate Sauvignon Blanc 750ml,No
Alcohol & Tobacco,620789,7804320467450	,CYT M/RANGE MERLOT,1 x 750mls,£6.67,£4.75,20.0%,In Stock,Dillon Bass Ltd,NA,No
Alcohol & Tobacco,312783,85200000272	,SUTTER HOME SAUVIGNON BLANC,1 x 750mls,£6.68,£4.59,20.0%,In Stock,Dillon Bass Ltd,Sutter Home Sauvignon Blanc 750ml,No
Alcohol & Tobacco,153004,85200000296	,SUTTER HOME WHITE ZINFANDEL,12 x 750mls,£7.89,£54.99,20.0%,In Stock,Dillon Bass Ltd,NA,No
Alcohol & Tobacco,573949,8410302106300	,CAMPO VIEJO TEMPRANILLO,1 x 75cl,£9.41,£5.19,20.0%,In Stock,Campo Viejo,Campo Viejo Tempranillo 75cl,No
Alcohol & Tobacco,512108,8410302106300	,CAMPO VIEJO TEMPRANILLO,6 x 75cl,£9.41,£30.99,20.0%,In Stock,Campo Viejo,Campo Viejo Tempranillo 75cl,No
Alcohol & Tobacco,620819,7804320348179	,CYT M/RANGE SAUVIGNON BLANC,1 x 750mls,£6.67,£5.35,20.0%,In Stock,Concha y Toro,NA,No
Alcohol & Tobacco,708822,9300727007391	,WYNDHAM BIN 555 SHIRAZ,6 x 750mls,£9.65,£31.99,20.0%,In Stock,Wyndham Estate,George Wyndham Bin 555 Shiraz 750ml,No
Alcohol & Tobacco,710291,9300727007391	,WYNDHAM BIN 555 SHIRAZ,1 x 750mls,£9.65,£5.35,20.0%,In Stock,Wyndham Estate,George Wyndham Bin 555 Shiraz 750ml,No
Alcohol & Tobacco,776889,7804320348179	,CYT M/RANGE SAUVIGNON BLANC,12 x 750mls,£6.67,£63.69,20.0%,In Stock,Concha y Toro,NA,No
Alcohol & Tobacco,153005,85200000296	,SUTTER HOME WHITE ZINFANDEL,1 x 750mls,£7.89,£4.59,20.0%,In Stock,Dillon Bass Ltd,NA,No
Alcohol & Tobacco,312782,85200000272	,SUTTER HOME SAUVIGNON BLANC,12 x 750mls,£6.68,£54.99,20.0%,In Stock,Dillon Bass Ltd,Sutter Home Sauvignon Blanc 750ml,No
Alcohol & Tobacco,117998,7804320467450	,CYT M/RANGE MERLOT,12 x 750mls,£6.67,£56.99,20.0%,In Stock,Dillon Bass Ltd,NA,No
Alcohol & Tobacco,237999,9414024678861	,BRANCOT CABERNET MERLOT,6 x 750mls,£10.17,£40.99,20.0%,In Stock,Dillon Bass Ltd,Brancott Estate Hawkes Bay Merlot Red Wine 75cl,No
