Category,Product Code,EAN Code,Product Name,Product Size,RRP,Price,VAT,Stock Service,Brand,Description,On Promo
Frozen Goods,792359,5099556024078	,BIG AL'S MAC N'CHEESE POPS,4 x 1kgm,NA,£33.96,0.0%,In Stock,KEPAK CONVENIENCE FOODS,NA,No
Packaging & Disposables,329912,5011581032064	,BIODE/ABLE SUPER RIGID PLATE 23CM,1 x 50pce,£6.77,£4.65,20.0%,In Stock,ROBINSON YOUNG,NA,No
Frozen Goods,462241,5099839290763	,M/E US STYLE 95 BEEF BURGER 2OZ/57G,80X57GRM,NA,£30.95,0.0%,In Stock,Paragon Food Services Ltd,Musgrave Excellence 2oz US Style Beef Burgers 4.54kg,No
Frozen Goods,916585,147838	,M/E UNBAKED FRUIT SCONE FRZN,60X150GRM,NA,£34.99,0.0%,In Stock,Musgrave Foodservice Ltd,Musgrave Excellence Unbaked Fruit Scone Pucks 60 x 150g (9kg),No
Frozen Goods,776153,145833	,UNBAKED RASPBERRY SCONE FROZEN,60X150GRM,NA,£47.75,0.0%,In Stock,Musgrave Foodservice Ltd,Raspberry Scone Unbaked 60 x 150g (9.0kg),No
Frozen Goods,201399,5099839291258	,M/E BEEF BURGER FRZN 4OZ/113G,40X113GRM,NA,£31.35,0.0%,In Stock,Paragon Food Services Ltd,Musgrave Excellence Quarter Pounder Beef Burgers 4.54kg,No
Fresh & Chilled Goods,608632,106086328	,MILLAC ROSELLE SUPREME CREAM,12 x 1ltr,£3.42,£33.69,0.0%,In Stock,Lakeland Dairies North,NA,No
Frozen Goods,200995,5099839290749	,M/E HOMESTYLE BEEF BURGER 6OZ/170G,24 x 170grm,NA,£29.79,0.0%,In Stock,Paragon Food Services Ltd,Musgrave Excellence 6oz Homestyle Beef Burgers 4.08kg,No
"Biscuits, Bread & Cakes",746178,5000168211657	,MCV CUSTARD CREAMS 1.00,12 x 300grm,£1.00,£8.99,0.0%,In Stock,United Biscuits,www.123healthybalance.com,No
"Biscuits, Bread & Cakes",746171,5000168211695	,MCV COCONUT RINGS 1.00,12 x 300grm,£1.00,£8.99,0.0%,In Stock,United Biscuits,www.123healthybalance.com,No
"Health, Beauty & Baby",549031,8710908430039	,LYNX B/SPRAY YOU,6 x 150mls,£2.65,£8.99,20.0%,In Stock,Unilever Ireland Personal Care,Lynx You Body Spray Deodorant For Men 150ml,No
Catering Dry Goods,916919,7613287697349	,SMARTIES MIX IN BAG,1 x 500grm,NA,£4.35,0.0%,In Stock,Nestle UK Ltd,Cocoa Plan™Supports kids' education in cocoa growing communities throughwww.nestlecocoaplan.comFind out more at ra.org,No
"Confectionery, Crisps & Snacks",445021,7613034989253	,LION BAR,36 x 50grm,£0.69,£14.99,20.0%,In Stock,Lion,"Learn more: http://www.nestle.co.uk/brands Good to remember: Enjoying chocolate as part of a varied, balanced diet and a healthy lifestyle, is one of life's little pleasures.Cocoa Plan:Supporting farmers for better chocolate. Working  with UTZ to support cocoa farmers. Find out more at www.nestlecocoaplan.com.",No
Catering Dry Goods,916918,7613287697349	,SMARTIES MIX IN BAG,8 x 500grm,NA,£34.65,0.0%,In Stock,Nestle UK Ltd,Cocoa Plan™Supports kids' education in cocoa growing communities throughwww.nestlecocoaplan.comFind out more at ra.org,No
"Confectionery, Crisps & Snacks",179145,7622210106988	,MARVELLOUS POPPING CANDY,24 x 47grm,£0.79,£11.29,20.0%,In Stock,Cadbury,BeTreatwise.netCocoa LifePartnering with Fairtrade Foundationwww.cocoalife.org,No
Frozen Goods,916584,147836	,M/E UNBAKED PLAIN SCONE FRZN,60X150GRM,NA,£33.99,0.0%,In Stock,Musgrave Foodservice Ltd,Musgrave Excellence Unbaked Plain Scone Pucks 60 x 150g (9kg),No
Catering Dry Goods,784900,7613287167774	,MINI ROLO BULK,1 x 400grm,NA,£4.69,20.0%,In Stock,Nestle UK Ltd,NA,No
Professional Cleaning & Hygiene,777533,5027279001618	,TEEPOL ALCOHOL HAND SANITISER,1 x 500mls,£8.95,£4.85,20.0%,In Stock,Teepol,Teepol Alcohol Hand Sanitizer 500ml,No
"Confectionery, Crisps & Snacks",570029,50243228	,MILKYBAR BUTTONS PKTS,48 x 30grm,£0.69,£19.29,20.0%,In Stock,Milkybar,Visit us at www.,No
Soft Drinks,766112,90446153	,RED BULL COCONUT 1.35,12 x 250mls,£1.35,£8.49,20.0%,In Stock,Richmond Marketing NI Ltd,£1.35,No
Catering Dry Goods,563099,5000243895307	,NESCAFE COFFEE GRANULES,1 x 750grm,NA,£19.99,0.0%,In Stock,Nescafé,Find out more about our products at https://www.nestleprofessional.co.uk/Or follow us on Facebook https://www.facebook.com/NestleProfessionalUK/YouTube https://www.youtube.com/c/nestleprofessionalukTwitter https://twitter.com/nestleproukInstagram https://www.instagram.com/nestleprouk/,No
