Category,Product Code,EAN Code,Product Name,Product Size,RRP,Price,VAT,Stock Service,Brand,Description,On Promo
Alcohol & Tobacco,778835,5000435014295	,RIVERSTONE RYO NI,5X30GRM,£13.65,£53.39,20.0%,In Stock,Imperial Tobacco Ltd,Riverstone Easy Rolling Including Cigarette Papers 30g,No
Alcohol & Tobacco,914806,5000435016398	,RICHMOND SK ORIGINAL,10 x 20pk,£10.15,£81.85,20.0%,In Stock,Imperial Tobacco Ltd,Richmond Original Superkings 20,No
Alcohol & Tobacco,914805,5000435016428	,RICHMOND SK BRIGHT NI,10 x 20pk,£10.15,£81.85,20.0%,In Stock,Imperial Tobacco Ltd,Richmond Bright Superkings 20,No
Alcohol & Tobacco,779268,5000435015285	,L&B KS BLUE BRIGHT AIR FILTER NI,10 x 20pk,£10.40,£84.65,20.0%,In Stock,Imperial Tobacco Ltd,L&B Blue Bright Air Filter 20 Cigarettes,No
Alcohol & Tobacco,779288,5000435014691	,EMBASSY KS SILVER NI,10 x 20pk,£10.15,£81.85,20.0%,In Stock,Imperial Tobacco Ltd,Embassy Signature Silver 20,No
Alcohol & Tobacco,779286,500043514660	,EMBASSY SK GOLD SIGNATURE NI,10 x 20pk,£10.15,£81.85,20.0%,In Stock,Imperial Tobacco Ltd,NA,No
Alcohol & Tobacco,779285,5000435014639	,EMBASSY KS GOLD SIGNATURE NI,10 x 20pk,£10.15,£81.85,20.0%,In Stock,Imperial Tobacco Ltd,Embassy Signature Gold 20,No
Alcohol & Tobacco,779278,5000435015643	,RICHMOND KS REAL BLUE NI,10 x 20pk,£10.15,£81.85,20.0%,In Stock,Imperial Tobacco Ltd,Richmond Original 20,No
Free From,914972,5000157145253	,HEINZ VEGAN MAYONNAISE,1X875MLS,NA,£2.35,0.0%,In Stock,H J Heinz Co Ireland Ltd,NA,No
"Household, Cleaning & Pet Care",530325,8001090124999	,LENOR SUMMER CONDITIONER,4X2.9LTR,£4.99,£11.99,20.0%,In Stock,Interactive Irl Ltd,"Lenor Fabric Conditioner Summer Breeze 83 Washes, 2.905L",No
Fresh & Chilled Goods,745006,5011069094287	,DENNY HICKORY CAP RASHERS,1 x 240grm,£2.99,£2.15,0.0%,In Stock,Pilgrim Foods,Henry Denny & Sons 8 Signature Cure Hickory Smoked Bacon Slices 240g,No
"Household, Cleaning & Pet Care",915675,8445290081407	,FELIX BEEF IN JELLY 3F1.19,20 x 100grm,£0.40,£5.19,20.0%,In Stock,Nestle Purina UK Commerical Op,Felix Original with Beef in Jelly 100g,No
Alcohol & Tobacco,106428,7804320303178	,CASILLERO CABERNET SAUVIGNON,6 x 750mls,£8.28,£30.12,20.0%,In Stock,Concha y Toro,Casillero del Diablo Cabernet Sauvignon 75cl,No
"Confectionery, Crisps & Snacks",764504,4009900534437	,EXTRA SPEARMINT REFRESHERS,16X15.GRM,£0.69,£4.29,20.0%,In Stock,Mars Wrigley DAP UK Ltd,A varied and balanced diet and a healthy lifestyle are important.,No
"Confectionery, Crisps & Snacks",764503,NA	,EXTRA PEPPERMINT REFRESHERS,16X15.GRM,£0.69,£4.29,20.0%,In Stock,Mars Wrigley DAP UK Ltd,A varied and balanced diet and a healthy lifestyle are important.,No
Fresh & Chilled Goods,646089,5390897003754	,SLICED SMOKED APPLEWOOD CHEDDAR,1 x 1kgm,NA,£10.99,0.0%,In Stock,GLENEELY FOODS LTD,NA,No
"Confectionery, Crisps & Snacks",775503,4009900537339	,EXTRA TROPICAL REFRESHER# GUM,24X15.6GRM,£0.69,£6.79,20.0%,In Stock,Mars Wrigley DAP UK Ltd,A varied and balanced diet and a healthy lifestyle are important.,No
Catering Dry Goods,556521,5018010001783	,DAVINCI HAZELNUT SYRUP,6 x 1ltr,NA,£29.33,0.0%,In Stock,Kerry Ingredients (U.K.) Ltd,"For full range visit davincigourmet.comWant more inspiration & recipes?Follow us on: Facebook, Twitter and Instagram",No
Fresh & Chilled Goods,186523,5010386084001	,DROMONA GRATED CHEESE,1 x 2kgm,NA,£10.29,0.0%,In Stock,Dromona Quality Foods,Dromona Grated Mild Cheddar 2kg,No
