Category,Product Code,EAN Code,Product Name,Product Size,RRP,Price,VAT,Stock Service,Brand,Description,On Promo
Packaging & Disposables,791457,5011581066465	,C/PACK ENVIRO FLEXI PAPER STRAW,1 x 150pce,NA,£1.69,20.0%,In Stock,ROBINSON YOUNG,NA,No
Packaging & Disposables,791456,5011581066465	,C/PACK ENVIRO FLEXI PAPER STRAW,24X150PCE,NA,£40.49,20.0%,In Stock,ROBINSON YOUNG,NA,No
"Household, Cleaning & Pet Care",494513,5413149980594	,FAIRY LEMON WASHING UP LIQUID,10X433MLS,£1.29,£7.99,20.0%,In Stock,Fairy,Fairy Original Washing Up Liquid with LiftAction Lemon 433 ML,No
"Household, Cleaning & Pet Care",494514,5413149980761	,FAIRY ORIGINAL WASHING UP LIQUID,10X433MLS,£1.29,£7.99,20.0%,In Stock,Fairy,Fairy Original Washing Up Liquid Green with LiftAction 433 ML,No
"Household, Cleaning & Pet Care",791685,5060033824054	,STARDROPS WHITE VINEGAR SPRAY,12 x 750mls,£1.00,£7.29,20.0%,In Stock,Allegro N Ireland,NA,No
Free From,914971,5000157145253	,HEINZ VEGAN MAYONNAISE,6X875MLS,NA,£13.95,0.0%,In Stock,H J Heinz Co Ireland Ltd,NA,No
"Household, Cleaning & Pet Care",790721,5060033824023	,STARDROPS PINE DISINFECTANT SPRAY,12 x 750mls,£1.00,£7.29,20.0%,In Stock,Allegro N Ireland,For an ingredients data sheet visit www.dpi.uk.netA Charter member - www.cleanright.euVisit www.stardrops.co.uk for more information and to see the full range of products.,No
"Household, Cleaning & Pet Care",790829,5060033823682	,STARDROPS PINK STUFF SPRAY,12 x 750mls,£1.29,£9.39,20.0%,In Stock,Allegro N Ireland,An A.I.S.E. www.cleanright.euFor an ingredients date sheet visit www.dpi.uk.netFollow us on Instagram for top tips @cleanwithpinkstuffVisit www.thepinkstuff.co.uk for more information and to see the full range of products.,No
Fresh & Chilled Goods,589127,5000136076899	,PHILADELPHIA ORIGINAL CATERING TUB,4X1.65KGM,NA,£44.75,0.0%,In Stock,Kraft Foods Uk Ltd,See our recipes at www.phillychef.co.uk for more delicious inspiration.,No
"Confectionery, Crisps & Snacks",361657,50189342	,MUNCHIES TUBE,36 x 52grm,£0.89,£16.49,20.0%,In Stock,Nestle UK Ltd,"Learn more: http;//www.nestle.co.uk/brandsGood to remember: Enjoying chocolate as part of a varied, balanced diet  and a healthy lifestyle, is one of life's little pleasures.Cocoa Plan:Supporting farmers for better chocolate. Working with UTZ to support cocoa farmers.Find out more at www.nestlecocoaplan.com.",No
Frozen Goods,697309,5010069654583	,M/P FRZ CKN WING DRUMMETTE IQF,NA,NA,NA,0.0%,Out of Stock,NEIL MCMULLAN LTD,Moy Park Frozen Chicken Drumettes 1kg,No
"Health, Beauty & Baby",765550,8720181049194	,RADOX LHW PROTECT&REPLENISH,NA,NA,NA,20.0%,Out of Stock,Unilever Ireland Personal Care,Radox Protect + Replenish Liquid Handwash Squeezy 250  ML,No
"Health, Beauty & Baby",370590,8717644011843	,VASELINE ALOE VERA DEODORANT,6 x 150mls,£1.29,£4.49,20.0%,In Stock,Unilever Ireland Personal Care,Vaseline  Aloe Sensitive Anti-perspirant Deodorant Aerosol 150ml,No
"Health, Beauty & Baby",746099,8712561737074	,RADOX LHW REFRESHING ANTIBACTERIAL,6 x 250mls,£1.29,£4.29,20.0%,In Stock,Unilever Ireland Personal Care,Radox Protect & Refresh Antibacterial Handwash 250 ml,No
"Health, Beauty & Baby",130080,5000228016420	,VASELINE ACTIVE FRESH,6 x 150mls,£1.29,£4.49,20.0%,In Stock,Unilever Ireland Personal Care,Vaseline  Active Fresh Anti-perspirant Deodorant Aerosol 150ml,No
Free From,914972,5000157145253	,HEINZ VEGAN MAYONNAISE,1X875MLS,NA,£2.35,0.0%,In Stock,H J Heinz Co Ireland Ltd,NA,No
Catering Dry Goods,556531,5018010001745	,DAVINCI CARAMEL SYRUP,1 x 1ltr,NA,£4.75,0.0%,In Stock,Kerry Ingredients (U.K.) Ltd,"For full range visit davincigourmet.comWant more inspiration & recipes?Follow us on: Facebook, Twitter and Instagram",No
Soft Drinks,915844,5000177497394	,EMERGE M/BERRY SPORT 59P,12 x 500mls,£0.59,£4.49,20.0%,In Stock,Refreshco Drinks UK,NA,No
Alcohol & Tobacco,530103,9300727620514	,JACOBS CREEK SPK ROSE,6 x 750mls,£10.04,£41.85,20.0%,In Stock,Jacob's Creek,Jacob's Creek Sparkling Rosé Wine 6 x 75cl,No
Alcohol & Tobacco,530104,9300727620514	,JACOBS CREEK SPK ROSE,1 x 750mls,£10.04,£6.99,20.0%,In Stock,Jacob's Creek,Jacob's Creek Sparkling Rosé 750ml,No
Soft Drinks,100643,5000177464877	,BOOST 4PK CANS,6 x 250mls,£2.29,£7.99,20.0%,In Stock,Boost,Consume in moderation as part of a varied and balanced diet and healthy lifestyle.Search for Boost Drinks...TwitterInstagramFacebookSupports Local Shops,No
"Household, Cleaning & Pet Care",775601,4008429137389	,CESAR TURK&LAMB 85P,14X150GRM,£0.85,£7.29,20.0%,In Stock,Mars Pet Care UK Ltd,Cesar Classics Terrine Dog Food Tray Turkey & Lamb in  Loaf 150g PMP 85p,No
Soft Drinks,916329,5056079900920	,BOOST JUICD W/MELON 1.00,12 x 500mls,£1.00,£6.99,20.0%,In Stock,HSM (NI) Ltd,Consume in moderation as part of a varied and balanced diet and healthy lifestyle.,No
"Household, Cleaning & Pet Care",775598,4008429137365	,CESAR CHICK&TURK 85P,14X150GRM,£0.85,£7.29,20.0%,In Stock,Mars Pet Care UK Ltd,Cesar Classics Terrine Dog Food Tray Chicken & Turkey  in Loaf 150g PMP 85p,No
"Household, Cleaning & Pet Care",755135,5010708724004	,NATURO CHICKEN & LAMB TRAY,7X400GRM,£1.29,£5.39,20.0%,In Stock,Mackle Petfoods,Naturo Natural Pet Food Chicken & Lamb with Rice and Vegetables Adult Dog 1 to 7 Years 400g,No
"Household, Cleaning & Pet Care",771183,5998749108550	,WHISKAS TEMPTATIONS CHICKEN&CHEES,8X60GRM,£1.29,£5.39,20.0%,In Stock,Whiskas,Whiskas Temptations Adult Cat Treat Biscuits with Chicken & Cheese 60g,No
Alcohol & Tobacco,494035,8410302569006	,CAMPO VEIJO TEMPRANILLO,12 x 187mls,£2.12,£16.99,20.0%,In Stock,Dillon Bass Ltd,Campo Viejo Rioja Tempranillo Red Wine 12 x 187ml,No
Soft Drinks,916328,5056079900913	,BOOST JUICD MANGO 1.00,12 x 500mls,£1.00,£6.99,20.0%,In Stock,HSM (NI) Ltd,Consume in moderation as part of a varied and balanced diet and healthy lifestyle.Support Local Shops,No
Alcohol & Tobacco,620789,7804320467450	,CYT M/RANGE MERLOT,1 x 750mls,£6.67,£4.75,20.0%,In Stock,Dillon Bass Ltd,NA,No
Soft Drinks,775451,4060800304698	,PEPSI MAX CAN 89P#,24X440MLS,£0.89,£13.29,20.0%,In Stock,Britvic Northern Ireland,Pepsi Max Sugar Free Cola Can 440ml,No
"Household, Cleaning & Pet Care",790384,7322540432664	,CUSHELLE 4PK,10 x 4pk,£1.89,£11.99,20.0%,In Stock,Cushelle,Cushelle White 4 Toilet Rolls,No
"Household, Cleaning & Pet Care",755690,7322540944884	,VELVET COMFORT TOILET ROLL,10 x 4pk,£1.99,£11.39,20.0%,In Stock,SCA Hygiene Ltd,Velvet Comfort 4 Toilet Rolls,No
"Household, Cleaning & Pet Care",790380,7322540432725	,CUSHELLE 9PK,5X9PK,£4.29,£13.49,20.0%,In Stock,Cushelle,Cushelle White 9 Toilet Rolls,No
"Household, Cleaning & Pet Care",683507,7322540944761	,CUSHELLE QUILTED,10 x 4pk,£2.59,£14.49,20.0%,In Stock,SCA Hygiene Ltd,Cushelle Ultra Quilted Toilet Roll 4 Rolls,No
"Household, Cleaning & Pet Care",775600,4008429137402	,CESAR CHICK&VEG 85P,14X150GRM,£0.85,£7.29,20.0%,In Stock,Mars Pet Care UK Ltd,Cesar Country Kitchen Dog Food Tray Chicken & Veg in Gravy 150g PMP 85p,No
Alcohol & Tobacco,114083,7804320985633	,CASILLERO DIABLO MERLOT,NA,NA,NA,20.0%,Out of Stock,Casillero del Diablo,Casillero del Diablo Merlot Red Wine Chile 75cl,No
"Household, Cleaning & Pet Care",173804,7322540432992	,CUSHELLE 16PK,1 x 16pk,£7.99,£4.99,20.0%,In Stock,Cushelle,Cushelle White 16 Toilet Rolls,No
Alcohol & Tobacco,106428,7804320303178	,CASILLERO CABERNET SAUVIGNON,NA,NA,NA,20.0%,Out of Stock,Concha y Toro,Casillero del Diablo Cabernet Sauvignon 75cl,No
Soft Drinks,693000,6001048003323	,APPLETISER APPLE,12X275MLS,£1.33,£9.59,20.0%,In Stock,Appletiser,Appletiser 275ml Glass Bottle,No
Soft Drinks,916003,613008730710	,ARIZONA PEACH ICED TEA,6 x 500mls,£1.99,£7.99,0.0%,In Stock,Clearline Distribution Ltd,Arizona Original Brand Iced Tea 6 x 500ml,No
