Category,Product Code,EAN Code,Product Name,Product Size,RRP,Price,VAT,Stock Service,Brand,Description,On Promo
Office & Hardware,769121,7638900426557	,ENERGIZER MAX AA BATTERIES,1X4PK,£3.99,£1.75,20.0%,In Stock,DUNLOP AGENCIES LTD,Energizer Max AA Batteries Alkaline 4 Pack,No
Office & Hardware,769120,7638900426557	,ENERGIZER MAX AA BATTERIES,24X4PK,£3.99,£41.99,20.0%,In Stock,DUNLOP AGENCIES LTD,Energizer Max AA Batteries Alkaline 4 Pack,No
Office & Hardware,762126,5000394017641	,DURACELL PLUS POWER AA BATTERY,1X4PK,£3.73,£2.15,20.0%,In Stock,Duracell,Results may vary by device or usage pattern (www.iec.ch).,No
Office & Hardware,762125,5000394017641	,DURACELL PLUS POWER AA BATTERY,20X4PK,£3.73,£42.79,20.0%,In Stock,Duracell,Results may vary by device or usage pattern (www.iec.ch).,No
"Biscuits, Bread & Cakes",916199,7622201500061	,LU PETTIE LEMON,7X140GRM,£1.69,£8.99,0.0%,In Stock,Kraft Foods UK Ltd,NA,No
Alcohol & Tobacco,778835,5000435014295	,RIVERSTONE RYO NI,5X30GRM,£13.65,£53.39,20.0%,In Stock,Imperial Tobacco Ltd,Riverstone Easy Rolling Including Cigarette Papers 30g,No
Packaging & Disposables,791905,5391519827840	,BAGASSE LUNCH BOX 2-COMPARTMENT 1L,1 x 50pce,NA,£11.25,20.0%,In Stock,Catering Disposables Ltd,NA,No
"Health, Beauty & Baby",753475,8710447497302	,LYNX ICE CHILL BODYSPRAYDEODORANT,6 x 150mls,£2.65,£8.99,20.0%,In Stock,Unilever Ireland Personal Care,Lynx Ice Chill Body Spray Deodorant 150 ml,No
"Health, Beauty & Baby",753476,8717163640838	,LYNX ICE CHILL ANTI-PERSPIRANT,6 x 150mls,£2.49,£8.99,20.0%,In Stock,Unilever Ireland Personal Care,Lynx Ice Chill Anti-perspirant Deodorant Spray 150 ml,No
"Health, Beauty & Baby",734700,8717644012208	,LYNX B/SPRAY AFRICA,6 x 150mls,£2.65,£8.99,20.0%,In Stock,Lynx,Lynx Africa Aerosol Bodyspray 150 ml,No
