,node,cosit,siteId,name,addrs,parameters,lat,lng
0,NRA,000000001011,NRA_000000001011,TMU N01 000.0 N,M01 Airport Link Road Between R132 Swords Road and Jn2 Dublin Airport,category=Other,53.42808,-6.22453
1,NRA,000000001012,NRA_000000001012,TMU M50 000.0 N,M50 Between Jn02 Santry and Jn03 M50/M1,category=Motorway National Primary,53.40305,-6.2335
2,NRA,000000001013,NRA_000000001013,TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",category=Other National Primary,53.38807,-6.24237
3,NRA,000000001014,NRA_000000001014,TMU M01 000.0 N,M01 Between Jn01 M50/M01 and Jn02 Dublin Airport,category=Motorway National Primary,53.4178,-6.22294
4,NRA,000000001015,NRA_000000001015,TMU M01 010.0 S,"M01 Between Jn04 Donabate and Jn05 Balbriggan (South), Donabate",category=Motorway National Primary,53.50218,-6.19982
5,NRA,000000001016,NRA_000000001016,TMU M01 046.0 S,M01 Between J11 & J10 @ VMS Monasterboice Co. Louth ,category=Motorway National Primary,53.7698,-6.41008
6,NRA,000000001017,NRA_000000001017,TMU M01 006.0 N,"M01 Between Jn 3 & Jn 4  at NB VMS, Swords Co Dublin.",category=Motorway National Primary,53.45946,-6.20405
7,NRA,000000001021,NRA_000000001021,TMU N02 080.0 N,"N02 Between Carrickmacross and Castleblaney, Donaghmoyne, Co. Monaghan",category=Other National Primary,54.0103,-6.71235
8,NRA,000000001022,NRA_000000001022,TMU N02 070.0 N,"N02 Between Ardee and Carrickmacross, Drumgeeny, Co. Monaghan",category=Other National Primary,53.92964,-6.64804
9,NRA,000000001023,NRA_000000001023,TMU N02 020.0 N,"N02 Between Ashbourne and Slane, Crickstown Co. Meath",category=Other National Primary,53.54228,-6.42853
10,NRA,000000001024,NRA_000000001024,TMU N02 110.0 N,"N02 Between Castleblaney and Monaghan Town, Clontibert, Co. Monaghan",category=Other National Primary,54.20615,-6.84583
11,NRA,000000001025,NRA_000000001025,TMU N02 035.0 S,"N02 Between Slane and Ashbourne, McGruders Cross L1600, Co. Meath",category=Other National Primary,53.68196,-6.54012
12,NRA,000000001027,NRA_000000001027,TMU N02 042.0 N,"N2 Between Slane and Collon, Sillogue,Co Meath",category=Other National Primary,53.72804,-6.51722
13,NRA,000000001031,NRA_000000001031,TMU N03 130.0 N,"N03 Between Belleek  and Ballyshannon, Templenew, Co. Donegal",category=Other National Primary,54.4844,-8.12508
14,NRA,000000001032,NRA_000000001032,TMU N03 070.0 N,"N03 Between Virginia and Kells, Co. Cavan",category=Other National Primary,53.78017,-7.00942
15,NRA,000000001033,NRA_000000001033,TMU N03 005.0 S,"N03 Between Jn03 Clonsilla and Jn04 Clonee , Clonee, Co. Dublin",category=Other National Primary,53.40748,-6.42042
16,NRA,000000001034,NRA_000000001034,TMU N03 000.0 N,"N03 Between Jn02 Blanchardstown and Jn03 Clonsilla, Blanchardstown, Co. Dublin ",category=other national primary,53.39369,-6.38519
17,NRA,000000001035,NRA_000000001035,TMU N03 110.0 N,"N03 Between R188 Jn and Dublin Road Roundabout, Cavan Bypass, Co. Cavan",category=Other National Primary,54.00773,-7.34263
18,NRA,000000001036,NRA_000000001036,TMU N03 115.0 S,"N03 Between  Staghall Roundabout , and Butlers Bridge, Belturbet Bypass, Co Cavan",category=Other National Primary,54.09774,-7.46021
19,NRA,000000001041,NRA_000000001041,TMU N04 190.0 E,"N04 Between the N59/N4 roundabout (Belladrihid) and Carrowroe Exit, Co. Sligo",category=Other National Primary,54.23255,-8.49203
20,NRA,000000001042,NRA_000000001042,TMU N04 170.0 E,"N04 Between Castlebaldwin and Boyle, Dromdoney, Co. Sligo",category=Other National Primary,54.07138,-8.36554
21,NRA,000000001043,NRA_000000001043,TMU N04 090.0 E,"N04 Between Edgeworthstown and Mullingar, Loughlanstown, Co. Longford",category=Other National Primary,53.66783,-7.53782
22,NRA,000000001044,NRA_000000001044,TMU N04 000.0 E,"N04 Between Jn03 Newcastle and Jn04 Lucan, Lucan, Co. Dublin",category=Other National Primary,53.35114,-6.44254
23,NRA,000000001045,NRA_000000001045,TMU R148 040.0 W,"R148 East of Kinnegad, Ardnamullen, Co. Meath",category=Other,53.44971,-7.06698
24,NRA,000000001046,NRA_000000001046,TMU N04 151.0 E,"N04 Between Boyle and Carrick on Shannon, Usna Co Roscommon",category=Other National Primary,53.9585,-8.17967
25,NRA,000000001051,NRA_000000001051,TMU N05 130.0 E,"N05 Between Westport and Castlebar, Doon, Co. Mayo",category=Other National Primary,53.80634,-9.44985
26,NRA,000000001052,NRA_000000001052,TMU N05 110.0 W,"N05 Between Turlough and Castlebar, Gortnafolla, Co. Mayo",category=Other National Primary,53.86279,-9.27769
27,NRA,000000001053,NRA_000000001053,TMU N05 080.0 E,"N05 Between Swinford and Charlestown, Cloonaghboy, Co. Mayo",category=Other National Primary,53.9486,-8.8926
28,NRA,000000001054,NRA_000000001054,TMU N05 010.0 E,"N05 Between Strokestown and Longford,Termonbarry, Co. Roscommon",category=Other National Primary,53.74647,-7.93814
29,NRA,000000001055,NRA_000000001055,TMU N05 60.0 E,N5 Ballaghaderreen Bypass,category=Other National Primary,53.90929,-8.549
30,NRA,000000001056,NRA_000000001056,TMU N05 62.50 W,N5 Ballaghaderreen Bypass,category=Other National Primary,53.91459,-8.56383
31,NRA,000000001057,NRA_000000001057,TMU N5 001.0 W,"N5 Between N4 and N5, N5 Link, Longford Bypass Co. Longford",category=Other National Primary,53.73893,-7.81461
32,NRA,000000001058,NRA_000000001058,TMU N05 100.0W,"N05 Between Bohola and Swinford, Knockavrony Co Mayo",category=Other National Primary,53.89222,-9.13503
33,NRA,000000001065,NRA_000000001065,TMU N06 061.0 W,"N06 Between Jn 10 & Jn 11, Athlone Bypass Co. Westmeath",category=Other National Primary,53.43262,-7.92972
34,NRA,000000001069,NRA_000000001069,TMU N06 145.0 E,"N06 Between N84 and N83, Bothar na dTreabh, Co Galway ",category=Other National Primary,53.28958,-9.0355
