Product ID,Barcode,Category,Sub Category,Product,Price,Base Price,Promotion,Offer ends,RRP,POR,VAT,Pack Size
270127,03065890142893,Pet Products,Cat,Whiskas Chicken In Gravy 7+ Pouch 3 For £1.19 100g,£ 6.69,,,,£ 0.4,16.4,20.00,1 x 24
19679,05012144822740,Pet Products,Dog,Webbox Chomping Chews Treats Chicken Pm £1 20's,£ 7.29,,,,£ 1,27.1,20.00,1 x 12
971169,05012144898042,Pet Products,Dog,Webbox Complete Dog Food Chicken Vat Free Pm £1.99 2kg,£ 5.89,,,,£ 1.99,26,0.00,4 x 1
971169,05012144898042,Pet Products,Dog,Webbox Complete Dog Food Chicken Vat Free Pm £1.99 2kg,£ 1.59,,,,£ 1.99,20.1,0.00,1 x 1
114167,05029054216262,Retail Household,Paper Products,Kleenex Original Pmp £1 ,£ 15.89,,,,£ 1,20.6,20.00,4 x 6
114167,05029054216262,Retail Household,Paper Products,Kleenex Original Pmp £1 ,£ 3.99,,,,£ 1,20.2,20.00,1 x 6
999827,05029054229385,Retail Household,Paper Products,Kleenex Balsam Hanks 18s,£ 4.79,,,,£ 0.45,29,20.00,1 x 18
113405,05029054229415,Retail Household,Paper Products,Kleenex Balsam Regular Pm £1.99 ,£ 15.55,,,,£ 1.99,21.9,20.00,3 x 4
113405,05029054229415,Retail Household,Paper Products,Kleenex Balsam Regular Pm £1.99 ,£ 5.19,,,,£ 1.99,21.8,20.00,1 x 4
102158,08711600340046,Retail Household,Fabric Conditioners,Comfort Concentrate Pure Pm £1.99 750ml,£ 5.39,£ 7.49,SAVE 2.1,2022/05/15,£ 1.99,59.4,20.00,1 x 8
114157,15059630000265,Retail Household,Cleaning Products,Go Local Anti Bacterial Wipes Lemon Pm £1 50pk,£ 6.89,,,,£ 1,31.1,20.00,1 x 12
115806,08720182146571,Retail Household,Laundry,Surf Small & Mighty Tropical Pm £2.99 16 Wash 486ml,£ 6.29,£ 6.79,SAVE 0.5,2022/04/23,£ 2.99,36.9,20.00,1 x 4
988727,08001090704757,Retail Household,Laundry,Daz Liquid Regular Pm £2.99 700ml,£ 7.69,,,,£ 2.99,22.8,20.00,1 x 4
116317,08004260595483,Retail Household,Paper Products,Nicky Elite White Pm £1.85 4's,£ 10.49,,,,£ 1.85,32,20.00,1 x 10
156604,05012144898028,Pet Products,Dog,Webbox Working Dog Complete Food Beef Pm £1.99 2kg,£ 5.89,,,,£ 1.99,26,0.00,4 x 1
156604,05012144898028,Pet Products,Dog,Webbox Working Dog Complete Food Beef Pm £1.99 2kg,£ 1.59,,,,£ 1.99,20.1,0.00,1 x 1
975929,01076130329940,Pet Products,Cat,Felix Chicken Pouch Single Pm 3 For £1 100g,£ 4.59,,,,£ 0.35,21.3,20.00,1 x 20
117541,08445290094544,Pet Products,Dog,Bakers Rewards Variety Pm £1.19 100g,£ 5.59,,,,£ 1.19,29.5,20.00,1 x 8
116912,08445290076137,Pet Products,Cat,Felix Goody Bag Original Pm £1.19 60g,£ 4.99,,,,£ 1.19,37.1,20.00,1 x 8
117081,08445290076281,Pet Products,Cat,Felix Agail Meat Pouch Pm £4.49 100g,£ 10.39,£ 11.49,SAVE 1.1,2022/04/23,£ 4.49,30.6,20.00,4 x 1
