ProdCode,Description,WS Size,Pack Size,Price,RRP,POR,Min Shelf Life (days),Marked as Promo,In Stock,Inner Barcode,Outer Barcode,Product Group,Category
912109,American Oven Fries (frozen Chips),6,1.81kg,£11.00,£2.50,26.67,0,Y,NA,5060214320009	,8710679157104	,Frozen Retail," Chilled, Fresh & Frozen"
902559,Birdseye 8 Fish Fingers Crispy Batter,12,224g,£18.00,£2.70,44.44,0,Y,NA,5000116102464	,5000116902774	,Frozen Retail," Chilled, Fresh & Frozen"
910142,Birdseye Crispy Pancakes Beef,10,266g,£17.00,£2.00,15.00,0,N,NA,5000116111299	,05000116915842	,Frozen Retail," Chilled, Fresh & Frozen"
913666,Birdseye 10 Value Fish Fingers Pmp £1.25,12,250g,£12.30,£1.25,18.00,0,Y,NA,5000116125708	,05000116916405	,Frozen Retail," Chilled, Fresh & Frozen"
910443,Birds Eye Petits Pois Pmp £2.49,8,545g,£16.00,£2.49,19.68,0,Y,NA,5000116112159	,5000116913749	,Frozen Retail, Ambient
908687,Birds Eye Steamfresh Family Favourite Mix 4 Bags,6,540g,£11.00,£2.49,26.37,0,N,NA,5000116107803	,05000116909148	,Frozen Retail," Chilled, Fresh & Frozen"
908686,Birds Eye Steam Fresh Garden Mix Veg,6,540g,£10.00,£2.49,33.07,0,Y,NA,5000116106042	,05000116907038	,Frozen Retail," Chilled, Fresh & Frozen"
905783,Vegetable Roll  1.5kg,1,1.5kg,£10.60,£0.00,0.00,5,N,NA,None	,905783	,Deli," Chilled, Fresh & Frozen"
103961,Farmlay Medium Pre Packed 12 Eggs,15,12 Egg,£19.00,£1.50,15.56,19,Y,NA,5025880242468	,05025880250128	,Eggs," Chilled, Fresh & Frozen"
912003,Birdseye Crispy Pancakes Ham And Cheese,10,266g,£17.00,£2.00,15.00,0,Y,NA,5000116124435	,05000116915040	,Frozen Retail," Chilled, Fresh & Frozen"
913594,Zumi Strawberry & Kiwi,10,1lt,£6.06,£1.25,41.82,12,Y,NA,5018222002486	,05018222002608	,Chilled Drinks," Chilled, Fresh & Frozen"
909789,Eggs Medium 5 Doz (farmlay),1,60eggs,£7.00,£0.00,0.00,20,Y,NA,None	,05025880250166	,Eggs," Chilled, Fresh & Frozen"
905811,White Pudding Bulk,1,1kg,£3.40,£0.00,0.00,5,N,NA,5017786096061	,50177860960616	,Deli," Chilled, Fresh & Frozen"
