Store Postcode,Detatched,Semi-Detatched,Terraced,Flat (Purpose Built),Flat (Converted),Residence in Commercial Building,Owned Outright,Owned with Mortgage,Shared Ownership,Rented: From Council,Rented: Other Social,Rented: Private Landlord,Rented: Other,Rent Free,One Person,Two People,Three People,Four People,Five People,Six People,Seven People,8+ People,AB,C1,C2,DE,Male,Female,0 to 4,5 to 7,8 to 9,10 to 14,15,16 to 17,18 to 19,20 to 24,25 to 29,30 to 44,45 to 59,60 to 64,65 to 74,75 to 84,85 to 89,90+,Single,Married,Divorced,Separated,Widowed,Same Sex,Very Good,Good,Fair,Bad,Very Bad,Degree or similar,Apprenticeship,"HNC, HND or 2+ A Levels","5+ GCSE, an A-Level or 1-2 AS Levels",1-4 GCSEs or Equivalent,No GCSEs or Equivalent,Other,White,Mixed Ethnicity,Indian,Bangladeshi,Chinese,Other Asian,Black African,Other,England,Wales,Scotland,Northern Ireland,Republic of Ireland,European Union,Other,United Kingdom,Republic of Ireland,Europe (including European Union),African Countries,Middle East or Asia,North America or Caribbean,Central America,South America,Oceania,None,Christian,No Religion,Buddhist,Hindu,Jewish,Muslim,Sikh,Other Religion,Not Stated,Full-Time Employee,Part-Time Employee,Self Employed,Unemployed,Full-Time Student,Retired,Looking after Home or Family,Long Term Sick or Disabled,Other
LS13 3ER,6,70,27,2,0,4,51,46,0,5,0,3,1,1,30,45,13,18,1,0,0,0,8,15,27,22,116,120,6,5,3,9,3,4,6,10,17,40,62,21,26,20,4,0,52,117,17,6,18,0,79,99,44,12,2,16,25,30,41,31,54,13,230,4,NA,NA,NA,1,NA,1,228,1,0,0,1,4,2,193,1,3,0,2,0,0,0,1,38,141,76,1,0,0,1,0,0,17,76,34,16,3,11,34,4,6,2
KY16 8EG,1,20,26,4,1,NA,18,11,2,13,0,6,NA,2,12,20,10,6,4,0,0,0,4,12,9,11,62,64,8,3,1,10,1,4,9,12,7,17,31,5,9,4,4,1,42,45,2,1,13,0,73,32,17,3,1,25,NA,NA,NA,NA,29,NA,123,NA,1,NA,NA,2,NA,NA,11,0,96,1,3,7,8,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,43,0,0,0,0,0,0,15,28,20,0,6,20,10,6,2,2
IP12 3LU,4,74,5,0,0,NA,24,35,0,0,1,5,9,1,14,31,11,10,9,0,0,0,8,33,13,6,441,107,12,11,7,13,3,10,37,202,92,82,37,16,22,4,0,0,368,91,26,9,7,1,414,105,23,6,0,78,15,119,160,71,36,23,528,7,NA,NA,NA,2,3,2,455,18,25,10,0,19,21,501,0,4,6,1,4,0,0,4,29,371,141,1,0,0,1,1,0,33,411,23,15,1,10,30,6,1,1
B34 6QU,5,43,33,29,12,12,10,16,12,60,27,5,NA,4,57,32,20,16,7,2,0,0,5,24,24,64,135,157,32,20,14,15,2,9,6,30,31,63,37,12,7,3,8,3,121,46,21,8,13,0,130,97,40,21,4,14,2,19,27,48,95,4,195,38,6,10,2,NA,8,NA,257,2,0,1,6,3,23,156,6,2,7,5,2,0,0,0,118,155,93,0,5,0,21,0,0,18,60,30,9,23,18,11,20,18,6
RM13 9BB,10,34,60,6,0,10,46,46,1,4,2,17,3,1,25,32,27,23,9,4,0,0,16,19,33,26,178,153,15,13,5,22,8,6,11,36,17,55,88,13,18,16,4,4,102,112,25,11,18,0,144,129,48,10,0,40,13,33,48,57,61,16,242,14,15,NA,NA,6,28,NA,281,1,1,0,6,4,38,279,6,7,8,3,1,0,0,0,31,255,40,3,4,0,3,8,1,17,92,40,22,18,19,24,13,4,12
YO24 2TU,1,32,3,92,0,NA,12,17,0,82,0,6,NA,3,61,34,12,10,1,1,0,1,6,16,20,36,102,122,17,4,2,11,1,3,6,17,26,42,33,8,14,20,12,8,83,54,22,3,24,3,83,61,52,22,6,23,13,20,32,23,71,7,215,1,1,NA,NA,5,2,NA,203,0,7,0,0,8,6,126,0,8,2,0,0,0,0,0,88,124,72,0,0,0,4,0,1,23,46,23,11,20,6,18,4,16,5
WN6 8JP,31,62,64,15,4,1,52,64,0,8,3,38,NA,3,58,58,26,18,6,2,0,0,24,37,34,37,178,188,26,9,5,14,3,14,5,22,39,97,60,17,33,20,0,2,131,134,19,6,19,0,170,110,60,23,3,64,13,36,60,49,78,9,359,1,2,NA,1,1,NA,NA,357,1,1,0,2,2,3,298,2,3,0,0,0,0,0,0,62,277,57,1,2,0,2,0,0,27,126,41,23,8,18,38,5,25,3
PE28 2EA,72,99,7,0,0,NA,4,25,0,0,7,19,57,0,8,30,21,39,10,4,0,0,38,51,17,6,173,188,41,28,14,34,4,8,8,21,31,124,45,3,0,0,0,0,58,167,12,3,0,0,246,98,13,3,1,91,3,42,56,32,6,10,326,1,NA,NA,NA,28,3,3,278,4,13,8,2,15,41,281,2,6,2,8,7,0,0,2,56,218,102,1,25,0,1,0,0,14,159,29,9,9,18,0,10,4,2
AB21 7BJ,2,3,1,36,4,NA,4,0,0,2,37,3,NA,0,35,9,1,0,0,1,0,0,1,3,0,4,26,36,1,0,1,2,0,0,0,1,1,5,2,6,7,21,8,7,6,18,4,2,28,0,8,20,22,8,4,10,NA,NA,NA,NA,36,NA,60,NA,NA,NA,NA,1,NA,NA,1,1,57,0,0,0,3,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,0,0,0,0,0,0,1,8,0,1,0,1,9,0,3,0
LN4 4SY,130,66,40,1,3,1,65,74,0,4,5,31,1,3,47,76,33,24,3,0,0,0,15,48,45,33,207,202,18,14,5,21,8,15,10,32,26,74,99,24,36,23,1,3,95,189,32,8,19,0,178,145,61,19,6,55,6,53,74,61,80,14,399,1,1,NA,4,NA,NA,NA,367,8,6,4,0,12,12,300,0,3,0,0,4,0,0,0,104,284,97,0,4,0,0,0,2,22,137,59,21,13,21,41,12,11,1
